"_type","category","isi","judul"
"dict","travel","Begini Cara Bandara Ngurah Rai ""Perangi"" Kantong Plastik Wisatawan  Ratusan penumpang pesawat terbang yang baru saja mendarat di terminal kedatangan internasional Bandar Udara I Gusti Ngurai Rai, Bali, bergegas keluar pintu keluar garbarata menelusuri lorong bandara untuk selanjutnya menuju loket imigrasi. Sudah seperti lazimnya setiap penumpang pesawat yang berkunjung ke suatu negara, membawa buah tangan atau pakaian menggunakan koper, tas kain, atau   . Sementara di pertengahan lorong, ada dua orang direksi PT Angkasa Pura I (Persero) yakni Direktur Utama Faik Fahmi dan Direktur Pemasaran dan Pelayanan Devi Suradji yang mengamati tas bawaan setiap penumpang. Sambil menyediakan sejumlah tas kain berwarna hitam, kedua direksi tersebut mengawasi wisatawan mancanegara (wisman) yang tiba di Bandar Udara I Gusti Ngurah Rai secara acak. Jika ditemukan ada wisman  yang membawa tas plastik, maka akan dihentikan. Dengan sopan dua direksi   itu berkata,   Hal itu disampaikan Faik dan Devi saat menemui sejumlah wisatawan mancanegara yang membawa tas plastik. Sejumlah wisatawan ada yang terkejut ada pula tampak biasa saja, saat disapa dan ditawarkan untuk mengganti tas plastik yang dibawanya. Setelah mendapat penjelasan bahwa Indonesia berupaya mengurangi sampah plastik, barulah para wisman itu paham dan mau secara sukarela menukarkan tas plastik sambil memindahkan isi bawaan ke tas kain yang ramah lingkungan. Bukan saja wisman yang baru mendarat ""dirampok"" tas plastiknya oleh dua direksi Angkasa Pura I itu, tapi wisman yang duduk menunggu keberangkatan pesawat dan kedapatan membawa tas plastik, juga tak luput dari Faik dan Devi untuk didatangi dan ditukar tas plastiknya dengan tas kain. Ada sejumlah wisman yang semula keberatan tas plastiknya ditukar dengan tas kain, tapi setelah mendapat penjelasan secara sopan, barulah mereka memahami dan mendukung program pengurangan sampah plastik. Bahkan sejumlah wisman yang melihat kejadian tersebut ""mengeroyok"" dua direksi itu untuk minta tas kain yang dibagikan kepada penumpang. Devi Suradji mengatakan, Indonesia adalah negara nomor dua di dunia yang menghasilkan sampah plastik terbesar dan kesan seperti ini harus dihilangkan sesuai dengan komitmen Pemerintah Indonesia yang ingin mengurangi sampah plastik di Tanah Air. ""Sebagai negara yang banyak dikunjungi wisman, alangkah baiknya kalau Indonesia bisa mengurangi sampah plastik agar lebih bersih dan menarik untuk dikunjungi,"" ujar Devi. Memang tidak mudah untuk mengurangi apalagi menghilangkan sampah plastik, tapi hal itu harus dilakukan dan secara terus-menerus harus dilakukan sosialisasi serta didukung oleh seluruh pemangku kepentingan serta masyarakat untuk mau membawa tas ramah lingkungan ketika hendak berbelanja. Seluruh toko oleh-oleh di semua bandara hendaknya ikut mendukung program larangan memberikan tas plastik untuk komoditas yang dijual. ""Kita sangat mengharapkan partisipasi pedagang dan masyarakat untuk menyukseskan program pengurangan sampah plastik,"" kata Devi. Untuk menyukseskan lingkungan 13 bandara yang dikelola, PT Angkasa Pura I (Persero) mengajak WWF Indonesia bersama-sama menciptakan suatu lingkungan yang bersih dan ramah lingkungan dengan menandatangani nota kesepahaman tentang Kerja Sama Konservasi dan Edukasi Lingkungan Hidup sebagai upaya untuk menjaga ekosistem bumi. Direktur Utama PT Angkasa Pura I Faik Fahmi, mengatakan perseroan mempunyai kepedulian dan komitmen saat membangun bandara untuk tidak mengabaikan lingkungan hidup sehingga tidak merusak ekosistem yang ada di bandara dan sekitarnya. CEO WWF Indonesia Rizal Malik mengatakan kerja sama dengan PT Angkasa Pura I ini merupakan langkah strategis, mengingat AP I yang mengelola 13 bandara di Indonesia bagian timur dan tengah, merupakan pintu gerbang bagi masuknya wisatawan dan penumpang. Adanya kerja sama ini diharapkan wisatawan dapat mengurangi penggunaan sampah plastik yang saat ini sedang menjadi isu global.","Begini Cara Bandara Ngurah Rai ""Perangi"" Kantong Plastik Wisatawan"
"dict","lifestyle","PERHATIAN : Cerita ini hanya fiktif belaka, bila ada persamaan nama, tempat, kejadian dan lain-hal lain itu hanya kebetulan belaka..... Salam Messlaip!		","Si Quvroy - Beli Bintang"
"dict","lifestyle","Topi Andalan Kate Middleton Saat Dampingi Ratu Elizabeth    dan    melakukan kunjungan bersama ke King College pada hari Selasa (19/3/2019). Ini adalah kunjungan bersama mereka untuk yang pertama kali dalam tujuh tahun terakhir. Pada kunjungan kali ini, Ratu Elizabeth meresmikan Bush House, fasilitas pendidikan dan pembelajaran terbaru di the Strand Campus yang baru saja direnovasi. Kebersamaan keduanya pertama kali pertama kali terjadi di bulan Maret 2012. Saat itu, mereka berkunjung ke Leicester untuk memperingati the Queen’s Diamond Jubilee tour, di mana Pangeran Philip juga turut serta di dalamnya.  , dalam perjalanan ini, Ratu Elizabeth memakai busana merah muda dengan topi warna senada yang dilengkapi hiasan bunga mawar. Sementara itu, Kate tampil dengan busana abu-abu dan topi   hitam dari Lock&Co, yang juga ia pakai saat kunjungan bersama dengan Ratu di tahun 2012 lalu. Topi   ini nampaknya menjadi andalan istri Pangeran William saat melakukan kunjungan bersama Sang Ratu. Ibu tiga anak itu memang kerap memakai busana yang sama dalam beberapa acara kerajaan. Ia juga pernah memakai topi itu saat momen   atau hari peringatan pasca Perang Dunia I di tahun 2013. Lalu, ketika parade hari St Patrick di tahun yang sama. Saat pertama kali melakukan kunjungan perdana dengan sang Ratu, Kate memakai warna hijau dari L.K Bennett. Sebuah kiriman dibagikan oleh   (@kensingtonroyal) pada 19 Mar 2019 jam 8:10 PDT Kali ini, Kate memasangkan topi tadi dengan gaun mewah berwarna abu-abu dari Catherine Walker & Co, yang juga menjadi label favorit Putri Diana. Wanita 37 tahun itu memadukan penampilannya dengan   berbahan   warna hitam dari Gianvito Rossi, dan tas tangan dari Mulberry, yang nampak serasi dengan busananya. ","Topi Andalan Kate Middleton Saat Dampingi Ratu Elizabeth"
"dict","tekno","5 Cara Ganti Kartu SIM Lama ke 4G Telkomsel  - Operator seluler    terus mengajak pelanggan yang masih menggunakan kartu SIM 2G/3G untuk melakukan    ke uSIM   . Hal itu dilakukan agar pelanggan Telkomsel dapat dengan optimal memanfaatkan teknologi layanan berbasis 4G LTE, seperti internet lebih cepat, streaming musik atau video tanpa  , maupun bermain game tanpa  . Ada lima cara yang bisa dilakukan oleh pelanggan Telkomsel, untuk mengganti kartu SIM 2G/3G ke uSIM 4G. Pelanggan yang masih menggunakan kartu SIM 2G/3G bisa mengganti ke kartu 4G melalui situs resmi Telkomsel di URL  . Setelah membuka situs tersebut, pelanggan Telkomsel akan diminta untuk mengisi data pribadi, seperti nomor Telkomsel, nama lengkap, alamat, dan e-mail. Kartu SIM 4G Telkomsel kemudian akan dikirim ke alamat yang dimasukkan pelanggan tadi. GraPari Telkomsel adalah salah satu cara mudah ganti kartu SIM 2G/3G Telkomsel ke uSIM 4G. Pelanggan tinggal datang ke GraPari terdekat, kemudian menukarkan kartu SIM 2G/3G ke uSIM 4G. Selain melalui   di Grapari, pelanggan juga dapat menukarkan uSIM 4G secara mandiri di mesin MyGrapari yg tersedia di sana. Untuk mencari lokasi Grapari terdekat, bisa mengunjungi situs Telkomsel di  . Selain Grapari, Telkomsel juga menyediakan mobile Grapari untuk lebih mendekatkan diri dengan pelanggan. Mobile Grapari yang wujudnya adalah mobil warna merah Telkomsel ini berkeliling untuk menjangkau pelanggan, salah satunya adalah penukaran kartu SIM 2G/3G ke uSIM 4G. Pelanggan Telkomsel dengan kartu 2G/3G juga bisa mengganti kartu SIM 4G di outlet-outlet Telkomsel bertanda khusus. Outlet-outlet yang disertai tanda khusus ""Ganti Kartu Anda ke 4G Sekarang"" bakal melayani pelanggan yang ingin migrasi dari kartu sim 2G/3G ke 4G. Penukaran kartu 2G/3G Telkomsel ke usim 4G juga bisa dilakukan melalui Telkomsel Distribution Center (TDC).  TDC adalah mitra Telkomsel untuk distribusi penjualan pulsa ataupun layanan M-Kios. Untuk diingat, seluruh cara penggantian kartu SIM 2G/3G Telkomsel ke 4G di atas bersifat gratis atau tidak dipungut biaya apa pun. Telkomsel juga akan memberikan bonus paket data 5 GB bagi setiap pelanggan yang baru saja berganti dari SIM 2G/3G ke 4G. Telkomsel sendiri mengklaim bahwa di area Jabotabek-Jabar memiliki 24 juta pelanggan, namun dari total jumlah tersebut, 12 persen diantaranya masih merupakan pelanggan 3G yang sudah menggunakan perangkat 4G.","5 Cara Ganti Kartu SIM Lama ke 4G Telkomsel"
"dict","regional","Elektabilitas Jokowi-Maruf Kalah di Jabar, Ini Kata Ridwan Kamil   — Hasil survei terbaru Litbang   menunjukkan adanya penurunan elektabilitas dari pasangan calon presiden (capres) dan calon wakil presiden (cawapres) nomor urut 01   . Sesuai hasil survei terbaru yang dirilis Rabu (20/3/2019), elektabilitas pasangan    di Jawa Barat (Jabar) dan Banten mencapai 47,7 persen, unggul dari pesaingnya Jokowi-Ma’ruf yang hanya 42,1 persen.   Menanggapi hal Itu, Gubernur Jabar    menilai, naik turunnya elektabilitas merupakan hal lumrah dalam pemilu. Hasil survei, kata Emil, tak bisa jadi acuan mutlak.  ""Survei   tidak pernah sama. Saya (waktu Pilgub 2018) juga (dalam survei) kalah oleh 2D (Deddy Mizwar-Dedi Mulyadi). Jadi, biasa saja,"" ujar Emil, sapaan akrabnya saat ditemui di Gedung Pakuan, Bandung, Jabar, Kamis (21/3/2019) malam.  Emil enggan berkomentar lebih jauh soal pemetaan suara Pilpres 2019 di Jabar. Ia hanya ingin memastikan proses pemilu di Jabar berjalan lancar dan kondusif.  ""Saya enggak bisa jawab, tapi lebih pada kondisi memastikan dinamika pemilu itu tiap saat fluktuatif. Tidak bisa masa lalu dijadikan referensi,"" tuturnya.   Emil menambahkan, kampanye bermodal sosialisasi capaian positif program pemerintah juga tak bisa diklaim sepihak. Sebab, pembangunan melibatkan banyak instrumen dalam pemerintahan. Emil berharap adanya kemajuan pembangunan di tiap daerah jadi penilaian obyektif dalam menentukan pilihan pemimpin.   ""Intinya masyarakat melihat kemajuan, mungkin masih ada kekurangan enggak masalah. Mudah-mudahan obyektif melihat itu sebagai indikator menentukan pilihan,"" katanya.","Elektabilitas Jokowi-Ma'ruf Kalah di Jabar, Ini Kata Ridwan Kamil "
"dict","entertainment","Bintang K-pop Jung Joon Young Dijebloskan ke Penjara  - Artis asal Korea Selatan    akhirnya ditahan, Kamis (21/3/2019). Ia merupakan artis pertama yang ditahan dalam rangkaian kasus ""   Gate"". Pengadilan Seoul menggelar sidang untuk menentukan perlu tidaknya pria kelahiran Jakarta tersebut ditahan. Pengadilan akhirnya mengeluarkan surat perintah penahanan, setelah Jung Joon Young diperiksa selama sekitar dua jam.  Jung Joon Young ditangkap atas tuduhan merekam diam-diam saat dia berhubungan seks lalu menyebarkan video itu ke pihak lain pada tahun 2015.  Jung Joon Young mengunggah video-video seks tersebut ke sebuah chatroom yang dihuni antara lain artis    dan Choi Jong Hoon. Dalam sebuah surat, Jung Joon Young mengakui perbuatannya.  Transkrip percakapan di dalam chatroom itu juga mengungkap bahwa Jung Joon Young, Seungri, serta beberapa artis lain dan pebisnis menyediakan prostitusi, menyuap polisi untuk mengatasi masalah hukum, dan lain-lain. Jung Joon Young juga disebut menerima ""hadiah"" berupa layanan prostitusi dari bos Yuri Holdings dan menggunakan lobinya ke polisi untuk menghilangkan bukti kasusnya dengan mantan pacarnya pada 2016. Ketika itu, mantan pacarnya menuduh aktor dan penyanyi itu merekam hubungan seks mereka secara diam-diam. Sebuah media menyebut Jung Joon Young sudah menjadi target penyelidikan kepolisian Seoul untuk kasus kamera tersembunyi pada November 2018.","Bintang K-pop Jung Joon Young Dijebloskan ke Penjara"
"dict","bola","PSSI Hormati Putusan FIFA soal Status Ezra Walian Tak Bisa Bela Timnas PSSI menghormati putusan FIFA terkait status    yang tak diperbolehkan membela    pada pertandingan    2020.  Pada pasal 5 ayat 2 Statuta FIFA, seorang pemain yang pernah membela sebuah negara pada kompetisi resmi, tidak berhak untuk membela asosiasi lain pada pertandingan internasional. Dalam Statuta FIFA tentang status pemain yang berganti asosiasi, disebutkan bahwa pemain hanya boleh sekali berganti kewarganegaraan sehingga dia diperkenankan membela negara lain dalam pertandingan internasional. Itu pun ada syarat yang harus dipenuhi.   Pemain tersebut tidak pernah bermain di pertandingan resmi Level A bersama asosiasi sebelumnya, termasuk hanya sebagai pengganti. Apabila dia pernah bermain untuk negara lain, dia tidak berhak bermain lagi untuk asosiasi barunya Dalam kasus Ezra di   , AFC mengetahui bahwa Ezra adalah pemain naturalisasi. Untuk itu, AFC meminta dokumen pendukung berupa sumpah kewarganegaraan, dekret presiden, atau surat ketetapan lain. PSSI sudah mengirim dokumen tersebut tepat waktu. Setelah itu, AFC meminta agar PSSI mengirimkan surat dari Asosiasi Sepak Bola Belanda (KNVB) yang mengklarifikasi bahwa Ezra belum pernah bermain di Timnas Belanda.   KNVB merespons yang di dalamnya ternyata mencantumkan bahwa Ezra pernah bermain di Timnas U-17 Belanda pada ajang Piala Eropa tahun 2013 lalu. Ezra Walian tercatat pernah membela Timnas U-17 Belanda pada pertandingan kualifikasi Piala Eropa U-17 2014. Berdasarkan data situs web Transfermarkt, pemain kelahiran 22 Oktober 1997 itu telah bermain dua kali. ""Berdasarkan data dari dokumen yang kami terima, Ezra Walian tidak berhak meminta berpindah asosiasi karena dia pindah kewarganegaraan Indonesia setelah bermain dalam laga internasional di kompetisi resmi sebagai perwakilan Belanda,"" demikian surat FIFA ke PSSI. Surat FIFA tertanggal 21 Maret 2019 yang ditandatangani oleh Football Regulatory Director FIFA, Omar Ongaro, dan Head of Players' Status, Erika Montemor Ferreira itu, dikirim kepada Sekretaris Jenderal PSSI, Ratu Tisha Destria. ""PSSI menghormati putusan FIFA soal status Ezra Walian,"" ucap Direktur Hubungan Media PSSI, Gatot Widakdo, kepada Kompas.com pada Jumat pagi.  Dengan demikian, Ezra Walian akan absen membela Timnas U-23 Indonesia pada kualifikasi Piala Asia U-23 2020. Laga pertama adalah Indonesia vs Thailand pada Jumat (22/3/2019) sore. ","PSSI Hormati Putusan FIFA soal Status Ezra Walian Tak Bisa Bela Timnas"
"dict","nasional","OTT Direktur Krakatau Steel, KPK Juga Amankan Sejumlah Uang  - Juru Bicara Komisi Pemberantasan Korupsi (  ) Febri Diansyah mengatakan, KPK mengamankan total empat orang di Tangerang Selatan dan Jakarta, dalam operasi tangkap tangan (  ), Jumat (22/3/2019). Salah satunya merupakan seorang Direktur PT    yang ditangkap di kawasan BSD City, Tangerang Selatan. Menurut Febri, tim KPK juga mengamankan sejumlah   . Meski demikian, ia belum bisa mengungkap pecahan dan nilai total uang yang diamankan. ""Saya belum dapat informasi yang lebih detail lagi yang bisa kami konfirmasi kami pastikan itu tim KPK. Dan ada uang yang diamankan,"" kata Febri di Gedung Merah Putih KPK, Jakarta, Jumat malam. KPK juga menelusuri dugaan kombinasi transaksi baik secara tunai maupun lewat transfer bank. ""Selain itu ada transaksi yang sedang ditelurusi lebih lanjut baik dalam bentuk rupiah maupun dollar. Jadi akan kita lihat nanti,"" ujarnya. Menurut Febri, diduga ada transaksi uang dari pihak kontraktor yang berkepentingan dengan proyek di perusahaan tersebut. ""Jadi kaitannya kepentingannya sejauh ini terindikasi terkait dengan hal itu,"" kata dia. KPK akan menentukan status dari pihak yang diamankan dalam waktu 1 x 24 jam. Adapun informasi rinci akan disampaikan dalam konferensi pers, Sabtu (23/3/2019). ""Besok baru kita sampaikan informasinya pada konferensi pers, semoga bisa kita sampaikan sore, Sabtu besok,"" ujar dia.","OTT Direktur Krakatau Steel, KPK Juga Amankan Sejumlah Uang"
"dict","tekno","Asus Zenfone Max Shot dan Max Plus M2, Pertama dengan Snapdragon SiP 1  -    mengumumkan duo ponsel anyarnya untuk segmen kelas menengah,    Max Shot dan Max Plus M2. Dua ponsel ini baru saja diluncurkan di Brazil. Salah satu yang menarik dari Zenfone Max Shot dan Max Plus M2 ada di sektor dapur pacu. Keduanya merupakan ponsel pertama yang dipersenjatai   ""System-in-Package""   . Zenfone Max Shot memiliki layar 6,26 inci beresolusi full HD Plus dengan   yang memuat kamera selfie 8 megapiksel, berikut  Di punggungnya ada pemindai sidik jari dan tiga kamera, terdiri dari kamera wide 12 megapiksel (f/1.8), kamera ultra-wide 8 megapiksel (bidang pandang 120 derajat), dan kamera 5 megapiksel yang berfungsi sebagai LED flash.  Spesifikasi lain termasuk baterai 4.000 mAh dan OS Android 8.1 Oreo. Zenfone Max Shot datang dengan dua pilihan konfigurasi RAM dan  , yakni 3 GB/ 32 GB yang dijual 1.349 real Brazil (Rp 5 jutaan) dan 4 GB/ 64 GB yang dihargai 1.699 real Brazil (Rp 6,3 jutaan). Adapun spesifikasi Zenfone Max Plus M2 kurang lebih hampir sama dengan Max Shot. Hanya saja, kamera belakangnya hanya berjumlah dua buah, terdiri dari kamera wide 12 megapiksel dan kamera  5 megapiksel, tanpa kamera  Kamera depan Zenfone Max Plus M2 beresolusi 8 megapiksel dan turut dilengkapi LED flash. Ada pemindai sidik jari bercokol di punggung. Baterai Zenfone Max Plus M2 berkapasitas 4.000 mAh. Hanya ada satu varian konfigurasi RAM dan storage, yakni 3 GB/ 32 GB yang dijual seharga 1.299 real Brazil (Rp 4,8 jutaan) Baik Zenfone Max Shot dan Max Plus M2 akan dijual secara resmi di situs Asus Brazil. Snapdragon SiP 1 merupakan  mobile baru hasil kerjasama antara    Technologies, Universal Scientific Industrial (Shanghai), dan pemerintah Brazil. Sesuai namanya, System-in-Package merupakan paket komplit yang menyatukan semua komponen penting di dalam sebuah kemasan  , termasuk aneka prosesor (CPU, GPU, ISP, DSP), modem, Wi-Fi, fungsi seluler,  , RAM serta memori  Walhasil, karena isi SiP lebih lengkap dibanding System-on-Chip (SoC) dan ukuran fisiknya juga lebih kecil, ruang di motherboard pun bisa dihemat dan perangkat dapat dibuat menjadi lebih ringkas.  juga bisa memanfaatkan ruang ekstra di internal perangkat untuk menambah komponen lain, seperti baterai yang lebih besar. Kinerja Snapdragon SiP 1 sendiri sebanding dengan SoC Snapdragon 450 yang sama-sama dibuat dengan proses manufaktur 14nm, sebagaimana   rangkum dari  , Sabtu (16/3/2019).","Asus Zenfone Max Shot dan Max Plus M2, Pertama dengan Snapdragon SiP 1"
"dict","olahraga","Christian, Pahlawan Kumpulan Terbuang  Keberhasilan Hendra Setiawan/Muhammad Ahsan menjuarai All England 2019 tak lepas dari kerasnya hati    saat merebut gelar juara ganda putra pada dekade 1970-an. Sebelum Hendra/Ahsan menjadi juara untuk keduakalinya pada 2019 ini, ada banyak nama ganda putra Indonesia yang menjadi nomor satu di sana. Sebut saja Kevin Sanjaya/Marcus Gideon Fernaldi, Ricky Subagja/Rexy Mainaky, Tony Gunawan/Candra Wijaya, Candra/Sigit Budiarto, Tony Gunawan/Halim Heryanto, Rudy Gunawan/Bambang Supriyanto, Rudy Gunawan/Eddy Hartono, Heryanto/Kartono, Tjuntjun/Johan Wahyudi dan Ade Chandra/Christian Hadinata. Sebelumnya ada ganda Tan Joe Hok/Ferry Sonneville yang lolos ke final All England 1963. Christian Hadinata yang bersama Ade Chandra menjadi juara pada 1972 dan 1973  tak bermaksud congkak saat mengatakan dirinya lah yang menjadi pelopor keberhasilan ganda putra Indonesia di All England hingga saat ini. ""Kamilah yang menjadi pendobrak tradisi dan menjadi pelopor merebut juara All England di sektor ganda putera. Saya bersama Ade (Chandra),"" katanya di Jakarta, Rabu (20/03/2019). Menurut Christian, menjadi juara pada dekade 1970-an merupakan hal yang gampang-gampang sulit. ""Dikatakan gampang ya karena pesaing kami sedikit. Dikatakan sulit juga karena  tidak banyak pemain yang saat itu mau menjadi pemain ganda. Kalau pun ada belum tentu cocok satu sama lain,"" jelas Christian. Menurut Christian, saat itu -apalagi untuk ajang all England- nomor tunggal putera masih menjadi primadona. ""Indonesia harus menjadi juara di nomor ini. Lebih tepatnya lagi, Rudy Hartono harus menjadi juara di sini,"" kata Christian. ""Padahal saat itu ada juga pemain-pemain tunggal yang bagus, seperti Iie Sumirat, Mulyadi, Darmadi. Tetapi orang tahunya hanyalah Rudy Hartono harus pulang dari all England sebagai juara,"" katanya. ""Saat itu, siapa yang mau memperhatikan siapa yang juara nomor ganda, apalagi ganda campuran. Ketika saya sama Ade juara pertamakali pada 1972 pun, orang tak terlalu memberi perhatian. Kalah lah pasti dengan keberhasilan Rudy jadi juara yang kelimakalinya,"" ungkap Chrsitian yang kini menjadi pelatih di PB Djarum Kudus. Setelah dua kali menjadi juara pada 1972 dan 1973, Christian/Ade harus mengakui munculnya kekuatan baru dari negara sendiri, Tjuntjun/Johan Wahyudi. Dua kali mengalahkan mereka di final 1974 dan 1975, Tjuntjun/Johan merebut gelar juara  enam kali antara 1974 hingga 1980. ""tetapi ganda putera kita saat itu sduah menjadi kekuatan yang ditakuti pemain negara mana pun."" Stelah berkarir sebagai pemain hingga usia 39 tahun, Christian beralih profesi menjadi pelatih pada 1988. Di tangannya kemduian lahir ganda-ganda putera utama pelatnas seperti Eddy Hartono/Gunawan, Tony/Candra, Ricky/Rexy hingga generasi Kevin/Gideon yang diteruskan oleh mantan anak didiknya, Herry IP. Menurut mantan pasangannya di nomor ganda campuran, Imelda Gunawan, keberhasilan Christian Hadinata sebagai pelatih adalah  kemampuannya menghadirkan suasana hubungan yang akrab antara pelatih dan anak didik. ""Chris bisa menghadirkan keseriusan berlatih yang tidak menjadi beban buat para anak didiknya.""","Christian, Pahlawan Kumpulan Terbuang"
