text_asli,removed_noise,removed_alay,removed_stopwords
"india lockdown, suzuki pastikan stok ignis baru di indonesia aman https://t.co/xifc4m4u1l","india lockdown, suzuki pastikan stok ignis baru di aman","india lockdown, suzuki pastikan stok ignis baru di aman","india , suzuki pastikan stok ignis aman"
'lockdown' virus corona di india: mengapa karantina wilayah 21 hari belum bisa diakhiri? https://t.co/yguyn1t3ls https://t.co/5krl4cf1qr,'lockdown' virus corona di india: mengapa karantina wilayah 21 hari belum bisa diakhiri?,'lockdown' virus corona di india: mengapa karantina wilayah 21 hari belum bisa diakhiri?,' ' virus corona india : karantina wilayah 21 ?
"154 warga jatim yg tinggal  di malaysia, 108 diantaranya pekerja migran indonesia (pmi) telah tiba di jawa timur kemarin (7/4) pkl 14.50 wib. mereka yg pulang akibat penerapan lockdown negara tetangga ini hrus melewati sejumlah protokol kesehatan brlapis sblum masuk ke indonesia. https://t.co/zsrtcf3unr","154 warga jatim yg tinggal di malaysia, 108 diantaranya pekerja migran (pmi) telah tiba di jawa timur kemarin (7/4) pkl 14.50 wib. mereka yg pulang akibat penerapan negara tetangga ini hrus melewati sejumlah protokol kesehatan brlapis sblum masuk ke indonesia.","154 warga jatim yang tinggal di malaysia, 108 diantaranya pekerja migran (pmi) telah tiba di jawa timur kemarin (7/4) pkl 14.50 wib. mereka yang pulang akibat penerapan negara tetangga ini harus melewati sejumlah protokol kesehatan brlapis sebelum masuk ke indonesia.","154 warga jatim tinggal malaysia , 108 pekerja migran ( pmi ) jawa timur kemarin ( 7 / 4 ) pkl 14.50 wib . pulang akibat penerapan negara tetangga melewati protokol kesehatan brlapis masuk ."
"sempat tertahan karena kebijakan lockdown di arab saudi, 58 jemaah umroh asal indonesia akan dipulangkan pada kamis (9/4) besok. https://t.co/hrmglkpc6v","sempat tertahan karena kebijakan di arab saudi, 58 jemaah umroh asal akan dipulangkan pada kamis (9/4) besok.","sempat tertahan karena kebijakan di arab saudi, 58 jemaah umroh asal akan dipulangkan pada kamis (9/4) besok.","tertahan kebijakan arab saudi , 58 jemaah umroh dipulangkan kamis ( 9 / 4 ) besok ."
"kjri kuching, malaysia membagikan paket sembako kepada 20 tenaga kerja indonesia (tki) yang masih bertahan. https://t.co/jwbebkadqw","kjri kuching, malaysia membagikan paket sembako kepada 20 tenaga kerja (tki) yang masih bertahan.","kjri kuching, malaysia membagikan paket sembako kepada 20 tenaga kerja (tki) yang masih bertahan.","kjri kuching , malaysia membagikan paket sembako 20 tenaga kerja ( tki ) bertahan ."
"psbb ini bukan hanya tepat melawan pandemi covid-19 yang saat ini tengah melanda dunia, tapi juga sesuai dengan corak politik dan masyarakat indonesia sendiri. #hlkompasiana #ngeblogdirumah https://t.co/alidecysl7","psbb ini bukan hanya tepat melawan pandemi covid-19 yang saat ini tengah melanda dunia, tapi juga sesuai dengan corak politik dan masyarakat sendiri. #hlkompasiana #ngeblogdirumah","psbb ini bukan hanya tepat melawan pandemi covid-19 yang saat ini tengah melanda dunia, tapi juga sesuai dengan corak politik dan masyarakat sendiri. #hlkompasiana #ngeblogdirumah","psbb melawan pandemi covid - 19 melanda dunia , sesuai corak politik masyarakat . #hlkompasiana #ngeblogdirumah"
"lockdown' di wuhan berakhir, warga bisa keluar kota untuk pertama kali sejak januari. https://t.co/sfgp48vmwk https://t.co/dpuncrjumh","lockdown' di wuhan berakhir, warga bisa keluar kota untuk pertama kali sejak januari.","lockdown' di wuhan berakhir, warga bisa keluar kota untuk pertama kali sejak januari.","' wuhan , warga kota kali januari ."
kenapa indonesia tidak lockdown ala tiongkok? #ngeblogdirumah https://t.co/rs1akdrxvp,kenapa tidak ala tiongkok? #ngeblogdirumah,kenapa tidak ala tiongkok? #ngeblogdirumah,ala tiongkok ? #ngeblogdirumah
kenapa indonesia tidak 'lockdown' atau laksanakan perintah kawalan pergerakan? #awaninews #hapuscovid19 https://t.co/xncmfzplc6 https://t.co/kf0bb7dey2,kenapa tidak 'lockdown' atau laksanakan perintah kawalan pergerakan? #awaninews #hapuscovid19,kenapa tidak 'lockdown' atau laksanakan perintah kawalan pergerakan? #awaninews #hapuscovid19,' ' laksanakan perintah kawalan pergerakan ? #awaninews #hapuscovid19
"kenapa indonesia tidak 'lockdown' atau laksanakan perintah kawalan pergerakan? 

#perintahkawalanpergerakan #covid19

https://t.co/utwsy6feoy https://t.co/29z94xa03g",kenapa tidak 'lockdown' atau laksanakan perintah kawalan pergerakan? #perintahkawalanpergerakan,kenapa tidak 'lockdown' atau laksanakan perintah kawalan pergerakan? #perintahkawalanpergerakan,' ' laksanakan perintah kawalan pergerakan ? #perintahkawalanpergerakan
