text_asli,removed_noise,removed_alay,removed_stopwords
"laporan kasus pertama covid-19:
turki 10 maret
indonesia 3 maret

sama2 telat lockdown.. bahkan saat liga indonesia udah diliburin, liga turki masih main sampe jon obi mikel resign dari klub trabzonspor

korban meninggal per 11 april:
turki 1006
indonesia 327","laporan kasus pertama covid-19:
turki 10 maret
indonesia 3 maret

sama2 telat lockdown.. bahkan saat liga udah diliburin, liga turki masih main sampe jon obi mikel resign dari klub trabzonspor

korban meninggal per 11 april:
turki 1006
indonesia 327","laporan kasus pertama covid-19:
turki 10 maret
indonesia 3 maret

sama2 telat lockdown.. bahkan saat liga sudah diliburin, liga turki masih main sampai jon obi mikel resign dari klub trabzonspor

korban meninggal per 11 april:
turki 1006
indonesia 327","laporan covid - 19 : 
 turki 10 maret 
 3 maret 

 sama2 telat .. liga diliburin , liga turki main jon obi mikel resign klub trabzonspor 

 korban meninggal 11 april : 
 turki 1006 
 327"
"1. before covid 19, for know @ramlirizal antar us.$1 to ir 14.300 and now us$1 to ir16.500. ekonomi makro memang pengaruh covid 19, diawali negara2 terkena covid 19. ada ngr keluarkan kebijakan lockdown and indonesia social distancing. guruku, prof. @emilsalim2020 ungkap ""ekonomi","1. before covid 19, for know antar us.$1 to ir 14.300 and now us$1 to ir16.500. ekonomi makro memang pengaruh covid 19, diawali negara2 terkena covid 19. ada ngr keluarkan kebijakan and social distancing. guruku, prof. ungkap ""ekonomi","1. before covid 19, for know antar us.$1 tapi ir 14.300 and now us$1 tapi ir16.500. ekonomi makro memang pengaruh covid 19, diawali negara2 terkena covid 19. ada ngr keluarkan kebijakan and social distancing. guruku, prof. ungkap ""ekonomi","1 . before covid 19 , for know us.$1 ir 14.300 and now us$1 ir16.500 . ekonomi makro pengaruh covid 19 , diawali negara2 terkena covid 19 . ngr keluarkan kebijakan and social distancing . guruku , prof . "" ekonomi"
"mereka kayaknya lupa memperhitungkan indonesia bisa seperti india atau italia. kedua negara itu lockdwon tetapi akhirnya terjadi keresahan social.
bahkan di brazil beredar akibat lockdown sempat menimbulkan isu adanya kudeta terhadap pemerintah yang syah.#stayhome","mereka kayaknya lupa memperhitungkan bisa seperti india atau italia. kedua negara itu lockdwon tetapi akhirnya terjadi keresahan social.
bahkan di brazil beredar akibat sempat menimbulkan isu adanya kudeta terhadap pemerintah yang syah.#stayhome","mereka kayaknya lupa memperhitungkan bisa seperti india atau italia. kedua negara itu lockdwon tetapi akhirnya terjadi keresahan social.
bahkan di brazil beredar akibat sempat menimbulkan isu adanya kudeta terhadap pemerintah yang syah.#stayhome","kayaknya lupa memperhitungkan india italia . negara lockdwon keresahan social . 
 brazil beredar akibat menimbulkan isu kudeta pemerintah syah.#stayhome"
"ostrali aja yang stimulus untuk bencana nya lebih gede dr indonesia coveragenya masih terbatas, cerita dari senior ada oknum yang sampai mengutil barang, bahkan untuk mahasiswa asing yang merasa ga mampu untuk bertahan ditengah kebijakan lockdown disuruh balik ke negaranya","ostrali aja yang stimulus untuk bencana nya lebih gede dr coveragenya masih terbatas, cerita dari senior ada oknum yang sampai mengutil barang, bahkan untuk mahasiswa asing yang merasa ga mampu untuk bertahan ditengah kebijakan disuruh balik ke negaranya","ostrali saja yang stimulus untuk bencana nya lebih gede dari coveragenya masih terbatas, cerita dari senior ada oknum yang sampai mengutil barang, bahkan untuk mahasiswa asing yang merasa enggak mampu untuk bertahan ditengah kebijakan disuruh balik ke negaranya","ostrali stimulus bencana gede coveragenya terbatas , cerita senior oknum mengutil barang , mahasiswa asing bertahan ditengah kebijakan disuruh negaranya"
di wuhan atau negara lain kepikiran gak ya warganya bakal ngejarah kalo kelamaan lockdown atau di indonesia doang? :(,di wuhan atau negara lain kepikiran gak ya warganya bakal ngejarah kalo kelamaan atau di doang? :(,di wuhan atau negara lain kepikiran enggak ya warganya bakal ngejarah kalo kelamaan atau di doang? :(,wuhan negara kepikiran warganya ngejarah doang ? :(
"rt @alineyoana_tan: dana karantina (lockdown) dari berbagai negara :
1. amerika rp: 35.000 t
2. china rp: 143 t
3. malaysia rp: 916 t
4. in…","dana karantina (lockdown) dari berbagai negara :
1. amerika rp: 35.000 t
2. china rp: 143 t
3. malaysia rp: 916 t
4. in…","dana karantina (lockdown) dari berbagai negara :
1. amerika rp: 35.000 t
2. china rp: 143 t
3. malaysia rp: 916 t
4. in…","dana karantina ( ) negara : 
 1 . amerika rp : 35.000 t 
 2 . china rp : 143 t 
 3 . malaysia rp : 916 t 
 4 . in …"
"1. januari: usa vs iran, virus corona muncul, kobe bryant meninggal
2. februari: banjir dimana mana.
3. maret: corona nyampe ke indonesia.
4. april: beberapa kota lockdown, suara dentuman, krakatau erupsi, glenn fredly meninggal.

bulan kebulan ada aja kejadian.","1. januari: usa vs iran, virus corona muncul, kobe bryant meninggal
2. februari: banjir dimana mana.
3. maret: corona nyampe ke indonesia.
4. april: beberapa kota lockdown, suara dentuman, krakatau erupsi, glenn fredly meninggal.

bulan kebulan ada aja kejadian.","1. januari: usah vs iran, virus corona muncul, kobe bryant meninggal
2. februari: banjir dimana mana.
3. maret: corona sampai ke indonesia.
4. april: beberapa kota lockdown, suara dentuman, krakatau erupsi, glenn fredly meninggal.

bulan kebulan ada saja kejadian.","1 . januari : vs iran , virus corona muncul , kobe bryant meninggal 
 2 . februari : banjir dimana . 
 3 . maret : corona . 
 4 . april : kota , suara dentuman , krakatau erupsi , glenn fredly meninggal . 

 kebulan kejadian ."
@sociotalker @fredy_tantri seharusnya indonesia itu awal awal lagi lockdown..... terhadkan pergerakan..... smua stay at home....😊,seharusnya itu awal awal lagi lockdown..... terhadkan pergerakan..... smua stay at home....😊,seharusnya itu awal awal lagi lockdown..... terhadkan pergerakan..... semua stay at home....😊,..... terhadkan pergerakan ..... stay at .... 😊
psbb udh susah kebayang gak sih indonesia kalau lockdown,psbb udh susah kebayang gak sih kalau,psbb sudah susah terbayang enggak sih kalau,psbb susah terbayang
"@alvrachma sama kayak indonesia ternyata, kota besar lockdown pada mudik pulang kampung 😁","sama kayak ternyata, kota besar pada mudik pulang kampung 😁","sama kayak ternyata, kota besar pada mudik pulang kampung 😁",", kota mudik pulang kampung 😁"
"disaat cina sedang marak maraknya lockdown, eh indonesia malah nerima turis, dari cina pula🤣","disaat cina sedang marak maraknya lockdown, eh malah nerima turis, dari cina pula🤣","disaat cina sedang marak maraknya lockdown, eh malah menerima turis, dari cina pula🤣","disaat cina marak maraknya , eh menerima turis , cina 🤣"
"@jokowi @kemensosri @menlu_ri 
mohon perhatikan tenaga kerja indonesia.
di malaysia .
karena kita tki cuman pekerja harian.kalau tak kerja tidak ada pemasukan..sedangkan #lockdown di #malaysia di perpanjang,stok bahan pokok mulai habis.tolong pengertian pemerintah..","mohon perhatikan tenaga kerja indonesia.
di malaysia .
karena kita tki cuman pekerja harian.kalau tak kerja tidak ada pemasukan..sedangkan #lockdown di #malaysia di perpanjang,stok bahan pokok mulai habis.tolong pengertian pemerintah..","mohon perhatikan tenaga kerja indonesia.
di malaysia .
karena kita tki cuman pekerja harian.kalau tak kerja tidak ada pemasukan..sedangkan #lockdown di #malaysia di perpanjang,stok bahan pokok mulai habis.tolong pengertian pemerintah..","mohon perhatikan tenaga kerja . 
 malaysia . 
 tki cuman pekerja harian.kalau kerja pemasukan .. #lockdown #malaysia perpanjang , stok bahan pokok habis.tolong pengertian pemerintah .."
"rt @nisoongs: indonesia yang kena corona, duit jajan gue yang lockdown.","yang kena corona, duit jajan gue yang lockdown.","yang kena corona, duit jajan gue yang lockdown.","kena corona , duit jajan ."
apakah dengan menutup pom bensin di seluruh indonesia adalah tindakan lockdown yg efektif?,apakah dengan menutup pom bensin di seluruh adalah tindakan yg efektif?,apakah dengan menutup pom bensin di seluruh adalah tindakan yang efektif?,menutup pom bensin tindakan efektif ?
"@mrln_nvta gapapa dah, asal dapet jodoh mah. lagian di indonesia mah, udah mendekati lockdown, kaga ada yg mau lagi wkwk","gapapa dah, asal dapet jodoh mah. lagian di mah, udah mendekati lockdown, kaga ada yg mau lagi wkwk","gapapa dah, asal dapat jodoh mah. lagian di mah, sudah mendekati lockdown, kagak ada yang mau lagi wkwk","gapapa , jodoh . , mendekati , wkwk"
"6. membuat otak tak berkembang, karna cuma bisa diem dirumah, jenuh, bosan
7. cafe² atau pembisnis banyak yang mulai merugi karna semuanya di lockdown tidak boleh ada pengunjung.
8. indonesia semakin terpuruk, perekonomian semakin lemah, pengangguran semakin banyak","6. membuat otak tak berkembang, karna cuma bisa diem dirumah, jenuh, bosan
7. cafe² atau pembisnis banyak yang mulai merugi karna semuanya di tidak boleh ada pengunjung.
8. semakin terpuruk, perekonomian semakin lemah, pengangguran semakin banyak","6. membuat otak tak berkembang, karena cuma bisa diam dirumah, jenuh, bosan
7. cafe² atau pembisnis banyak yang mulai merugi karena semuanya di tidak boleh ada pengunjung.
8. semakin terpuruk, perekonomian semakin lemah, pengangguran semakin banyak","6 . otak berkembang , diam dirumah , jenuh , bosan 
 7 . cafe² pembisnis merugi pengunjung . 
 8 . terpuruk , perekonomian lemah , pengangguran"
"pasca lockdown dan wfh , kayaknya populasi indonesia bakal meningkat drastis taun depan","pasca dan wfh , kayaknya populasi bakal meningkat drastis taun depan","pasca dan wfh , kayaknya populasi bakal meningkat drastis tahun depan","pasca wfh , kayaknya populasi meningkat drastis"
