text_asli,removed_noise,removed_alay,removed_stopwords
semoga psbb berhasil maksimal karena sepertinya lockdown ngga mungkin di indonesia ini.,semoga psbb berhasil maksimal karena sepertinya ngga mungkin di ini.,semoga psbb berhasil maksimal karena sepertinya enggak mungkin di ini.,semoga psbb berhasil maksimal .
lockdown tiga hari nasional merupakan informasi bohong https://t.co/y1v1qweamp,tiga hari nasional merupakan informasi bohong,tiga hari nasional merupakan informasi bohong,nasional informasi bohong
@ardiarindu kunci motorku sampe di jaluk grgr enek info kon lockdown 3 dino iku. pdhl dino iki aku kerjo,kunci motorku sampe di jaluk grgr enek info kon 3 dino iku. pdhl dino iki aku kerjo,kunci motorku sampai di jaluk gara-gara enek info kon 3 dino iku. padahal dino iki aku kerjo,kunci motorku jaluk gara-gara enek info kon 3 dino iku . dino iki kerjo
"@detikcom masuk akal... lah negara udah lockdown sebelum virusnya nongol. kaga ada carriernya kalik 🤗
emangnya indonesia, yang udah rame kasus aja cina2 masih bebas masuk 😅","masuk akal... lah negara udah sebelum virusnya nongol. kaga ada carriernya kalik 🤗
emangnya indonesia, yang udah rame kasus aja cina2 masih bebas masuk 😅","masuk akal... lah negara sudah sebelum virusnya nongol. kagak ada carriernya kali 🤗
emangnya indonesia, yang sudah rame kasus saja cina2 masih bebas masuk 😅","masuk akal ... negara virusnya nongol . carriernya kali 🤗 
 emangnya , rame cina2 bebas masuk 😅"
@geiszchalifah bodoh bodoh.. kalau lu baca history nya.. permintaan lockdown udah sejak januari oleh gub dki.. cuma si nganu sama si lahat nahan karena ada jadwal masukin wna china..,bodoh bodoh.. kalau lu baca history nya.. permintaan udah sejak januari oleh gub dki.. cuma si nganu sama si lahat nahan karena ada jadwal masukin wna china..,bodoh bodoh.. kalau lu baca history nya.. permintaan sudah sejak januari oleh gub dki.. cuma sih nganu sama sih lahat menahan karena ada jadwal memasuki wna china..,bodoh bodoh .. baca history .. permintaan januari gub dki .. nganu lahat menahan jadwal memasuki wna china ..
"@qorygore udah berapa hr lockdown,  perut udah buncit aja https://t.co/vcwwndj6xs","udah berapa hr lockdown, perut udah buncit aja","sudah berapa hari lockdown, perut sudah buncit saja",", perut buncit"
"*langgar aturan lockdown, 379 wni jemaah tablig masuk daftar hitam di india.
=harus menerima kenyataan karena tidak disiplin mengikuti aturan,-
#langgaraturan #lockdown #india #wni #rafans https://t.co/bdrq6r2th7","*langgar aturan lockdown, 379 wni jemaah tablig masuk daftar hitam di india.
=harus menerima kenyataan karena tidak disiplin mengikuti aturan,-
#langgaraturan #lockdown #india #wni #rafans","*langgar aturan lockdown, 379 wni jemaah tablig masuk daftar hitam di india.
=harus menerima kenyataan karena tidak disiplin mengikuti aturan,-
#langgaraturan #lockdown #india #wni #rafans","* langgar aturan , 379 wni jemaah tablig masuk daftar hitam india . 
 = menerima kenyataan disiplin mengikuti aturan , - 
 #langgaraturan #lockdown #india #wni #rafans"
cukop lah sekali kita lockdown jangan sampai berkali2.,cukop lah sekali kita jangan sampai berkali2.,cukop lah sekali kita jangan sampai berkali2.,cukop berkali2 .
@weekdies gara gara lockdown otak jadi gini amat @afrizalgita,gara gara otak jadi gini amat,gara gara otak jadi begini amat,gara gara otak
ini yg ngomong lockdown 3 hari berturut2 bener apa gak si ?? kok katanya hoax tapi ada yg teriak2 depan rumah katanya harus di rumah aja 3 hari -_-,ini yg ngomong 3 hari berturut2 bener apa gak si ?? kok katanya hoax tapi ada yg teriak2 depan rumah katanya harus di rumah aja 3 hari -_-,ini yang mengomong 3 hari berturut2 benar apa enggak sih ?? kok katanya hoax tapi ada yang teriak2 depan rumah katanya harus di rumah saja 3 hari -_-,mengomong 3 berturut2 ? ? hoax teriak2 rumah rumah 3 -_-
