text_asli,removed_noise,removed_alay,removed_stopwords
yang teriak2 lockdown kemaren giliran di kasi aturan kayak gini pada ngelunjak semua. mental aja dulu yang dibenerin baru teriak2 lockdown https://t.co/myp1jauug1,yang teriak2 kemaren giliran di kasi aturan kayak gini pada ngelunjak semua. mental aja dulu yang dibenerin baru teriak2,yang teriak2 kemarin giliran di kasih aturan kayak begini pada ngelunjak semua. mental saja dulu yang dibenerin baru teriak2,teriak2 kemarin giliran kasih aturan ngelunjak . mental dibenerin teriak2
kecintaan terhadap indonesia tidak akan pernah lockdown https://t.co/55jfy1jppz,kecintaan terhadap tidak akan pernah,kecintaan terhadap tidak akan pernah,kecintaan
"@alex_maulana_m @aryan_vyerdi @detikcom pertanyaannya gue balik lg dengan keadaan sekarang, semenjak dilakukan psbb, jumlah kerugian ekonomi yang muncul secara makro dan mikro uda seberapa banyak, phk yg muncul seberapa banyak.

hitungannya kita uda partial lockdown. karena sebagian besar dari rakyat uda di rumah.","pertanyaannya gue balik lg dengan keadaan sekarang, semenjak dilakukan psbb, jumlah kerugian ekonomi yang muncul secara makro dan mikro uda seberapa banyak, phk yg muncul seberapa banyak.

hitungannya kita uda partial lockdown. karena sebagian besar dari rakyat uda di rumah.","pertanyaannya gue balik lagi dengan keadaan sekarang, semenjak dilakukan psbb, jumlah kerugian ekonomi yang muncul secara makro dan mikro sudah seberapa banyak, phk yang muncul seberapa banyak.

hitungannya kita sudah partial lockdown. karena sebagian besar dari rakyat sudah di rumah.","pertanyaannya , semenjak psbb , kerugian ekonomi muncul makro mikro , phk muncul . 

 hitungannya partial . rakyat rumah ."
"@tarijawa75 @cnnindonesia iya, lebih hemat lockdown.","iya, lebih hemat lockdown.","iya, lebih hemat lockdown.","iya , hemat ."
"ada yang capek karena lockdown?
.
jangan bingung2 buat joget aja lah wkwk https://t.co/wkgvxaidpr","ada yang capek karena lockdown?
.
jangan bingung2 buat joget aja lah wkwk","ada yang capek karena lockdown?
.
jangan bingung2 buat joget saja lah wkwk","capek ? 
 . 
 bingung2 joget wkwk"
"@relangkring @adisuharyanto 9 positif ya katanya yg wna, dan 5 warga sekitar. semoga sehat dan aman ya keluarga nya adi. 
btw, pogung bukane kmrn² juga udah banyak yg lockdown ya kak?","9 positif ya katanya yg wna, dan 5 warga sekitar. semoga sehat dan aman ya keluarga nya adi. btw, pogung bukane kmrn² juga udah banyak yg ya kak?","9 positif ya katanya yang wna, dan 5 warga sekitar. semoga sehat dan aman ya keluarga nya adi. btw, pogung bukane kmrn² juga sudah banyak yang ya kak?","9 positif wna , 5 warga . semoga sehat aman keluarga adi . btw , pogung bukane kmrn² kak ?"
"lockdown vs karantina wilayah = psbb
mudik vs pulang kampung = ??? https://t.co/dih5isa8bh","vs karantina wilayah = psbb
mudik vs pulang kampung = ???","vs karantina wilayah = psbb
mudik vs pulang kampung = ???","vs karantina wilayah = psbb 
 mudik vs pulang kampung = ? ? ?"
"@emkalnd @detikcom vietnam lakukan lockdown ya?
jika iya, sampai kapan lockdown diberlakukan di vietnam?
(kira kira saja)","vietnam lakukan ya?
jika iya, sampai kapan diberlakukan di vietnam?
(kira kira saja)","vietnam lakukan ya?
jika iya, sampai kapan diberlakukan di vietnam?
(kira kira saja)","vietnam lakukan ? 
 iya , diberlakukan vietnam ? 
 ( )"
"@ainunnajib @jokowi china yg mana, china itu luas emang semua lockdown?","china yg mana, china itu luas emang semua lockdown?","china yang mana, china itu luas memang semua lockdown?","china , china luas ?"
kebijakan lockdown membuat polusi udara dunia menurun 60 persen https://t.co/azfxegt7ld,kebijakan membuat polusi udara dunia menurun 60 persen,kebijakan membuat polusi udara dunia menurun 60 persen,kebijakan polusi udara dunia menurun 60 persen
karena lockdown ga dikasih. https://t.co/i2nnz1hxzf,karena ga dikasih.,karena enggak dikasih.,dikasih .
@hvannely kono di lockdown yo heng... mau bengi meh do langsung mrono jane..,kono di yo heng... mau bengi meh do langsung mrono jane..,kono di ya heng... mau bengi meh di langsung mrono jane..,kono heng ... bengi meh langsung mrono jane ..
@esmiloangetttt neraka sedang lockdown,neraka sedang,neraka sedang,neraka
"@humassulsel bgmana nasib kami mahasiswa &amp; yg lainx yg trtahan d timika?
kmi ke timika ad yg cuma liburan, ada yg mengurus, kami psan tiket u plg ke makassar trnyata bandara dsni sdh lockdown,kirax pemerintah sulsel dpt menyurati maskapai garuda agar bsa plg,&amp; siap karantina sesuai prosedur🙏","bgmana nasib kami mahasiswa &amp; yg lainx yg trtahan d timika?
kmi ke timika ad yg cuma liburan, ada yg mengurus, kami psan tiket u plg ke makassar trnyata bandara dsni sdh lockdown,kirax pemerintah sulsel dpt menyurati maskapai garuda agar bsa plg,&amp; siap karantina sesuai prosedur🙏","bagaimana nasib kami mahasiswa &amp; yang lainx yang trtahan di timika?
kmi ke timika ada yang cuma liburan, ada yang mengurus, kami psan tiket lu pulang ke makassar ternyata bandara disini sudah lockdown,kirax pemerintah sulsel dapat menyurati maskapai garuda agar bisa plg,&amp; siap karantina sesuai prosedur🙏","nasib mahasiswa & amp ; lainx trtahan timika ? 
 kmi timika liburan , mengurus , psan tiket pulang makassar bandara , kirax pemerintah sulsel menyurati maskapai garuda plg,&amp ; karantina sesuai prosedur 🙏"
@siska74026949 @enggalpmt @matanajwa @jokowi kamu pinter banget yakh mending lockdown mulutmu sblm puasa .,kamu pinter banget yakh mending mulutmu sblm puasa .,kamu pintar banget yakh mending mulutmu sebelum puasa .,pintar yakh mending mulutmu puasa .
semenjak lockdown orang orang pada potong rambut itu frustasi apa gimanasi:(,semenjak orang orang pada potong rambut itu frustasi apa gimanasi:(,semenjak orang orang pada potong rambut itu frustasi apa gimanasi:(,semenjak orang orang potong rambut frustasi gimanasi : (
"@ganjarpranowo tak kirim donga wae yoooo.... nek duit ora ono. duit e lagi lockdown.
😂😂😂😂😂😂😂😂😂😂
urip iki lucuuuuuuuuu.....","tak kirim donga wae yoooo.... nek duit ora ono. duit e lagi lockdown.
😂😂😂😂😂😂😂😂😂😂
urip iki lucuuuuuuuuu.....","tak kirim donga wae yoooo.... nek duit ora ono. duit e lagi lockdown.
😂😂😂😂😂😂😂😂😂😂
urip iki lucuuuuuuuuu.....","kirim donga wae yoooo .... nek duit ora ono . duit e . 
 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 
 urip iki lucuuuuuuuuu ....."
"lagi kita mendengar istilah/bahasa yg menurut bapak presiden @jokowi adalah hal yg berbeda dalam arti/maknanya.
seperti ""karantina wilayah"" yg tidak lain sama dengan ""lockdown"" 🤣
lalu menyusul yg sedang hangat,beda antara ""mudik"" dan ""pulang kampung""
innalillahi...🤭

#matanajwa https://t.co/vkgrx3qzxm","lagi kita mendengar istilah/bahasa yg menurut bapak presiden adalah hal yg berbeda dalam arti/maknanya.
seperti ""karantina wilayah"" yg tidak lain sama dengan ""lockdown"" 🤣
lalu menyusul yg sedang hangat,beda antara ""mudik"" dan ""pulang kampung""
innalillahi...🤭

#matanajwa","lagi kita mendengar istilah/bahasa yang menurut bapak presiden adalah hal yang berbeda dalam arti/maknanya.
seperti ""karantina wilayah"" yang tidak lain sama dengan ""lockdown"" 🤣
lalu menyusul yang sedang hangat,beda antara ""mudik"" dan ""pulang kampung""
innalillahi...🤭

#matanajwa","mendengar istilah / bahasa presiden berbeda arti / maknanya . 
 "" karantina wilayah "" "" "" 🤣 
 menyusul hangat , beda "" mudik "" "" pulang kampung "" 
 innalillahi ... 🤭 

 #matanajwa"
"ga usah mudik, apalagi pulang kampung. eh, beda apa sama sih artinya? yaah, mulai lagi deh seperti kemarin lockdown vs karantina wilayah 😁. daripada pusing klik link berikut free 30 hari :… https://t.co/9furq4scxx","ga usah mudik, apalagi pulang kampung. eh, beda apa sama sih artinya? yaah, mulai lagi deh seperti kemarin vs karantina wilayah 😁. daripada pusing klik link berikut free 30 hari :…","enggak usah mudik, apalagi pulang kampung. eh, beda apa sama sih artinya? yaah, mulai lagi deh seperti kemarin vs karantina wilayah 😁. daripada pusing klik link berikut free 30 hari :…","mudik , pulang kampung . eh , beda ? yaah , deh kemarin vs karantina wilayah 😁 . pusing klik link free 30 : …"
"""sebentar lagi kita memahami bahwa kemalasan tingkat tinggi inilah yang sebenarnya mendorong segala kemajuan dalam masyarakat"" 

dapet tweet gini, dan coba ikutin perintahnya. kebetulan di tengah2 kondisi pandemi, psbb, lockdown. hm menarik. https://t.co/smv4kfrmto","""sebentar lagi kita memahami bahwa kemalasan tingkat tinggi inilah yang sebenarnya mendorong segala kemajuan dalam masyarakat"" dapet tweet gini, dan coba ikutin perintahnya. kebetulan di tengah2 kondisi pandemi, psbb, lockdown. hm menarik.","""sebentar lagi kita memahami bahwa kemalasan tingkat tinggi inilah yang sebenarnya mendorong segala kemajuan dalam masyarakat"" dapat tweet gini, dan coba mengikuti perintahnya. kebetulan di tengah-tengah kondisi pandemi, psbb, lockdown. hm menarik.",""" sebentar memahami kemalasan tingkat mendorong kemajuan masyarakat "" tweet gini , coba mengikuti perintahnya . tengah-tengah kondisi pandemi , psbb , . hm menarik ."
"selayang baru nak lockdown, mustahil la pkp tidak dilanjutkan, ye tak? https://t.co/o0pss0cv8w","selayang baru nak lockdown, mustahil la pkp tidak dilanjutkan, ye tak?","selayang baru nak lockdown, mustahil lah pkp tidak dilanjutkan, ye tak?","selayang , mustahil pkp dilanjutkan , ye ?"
@gulaitumaniskan sangune lockdown sek di,sangune sek di,sangune sek di,sangune sek
"orwellian pandemic 101:
bukan lockdown, tapi psbb.
bukan mudik, tapi pulang kampung.
bukan tidak transparan, tapi agar tak panik.
bukan konflik kepentingan, tapi maladministrasi.
.
anehnya rezim nya saat ini
#doublespeak #retweeet","orwellian pandemic 101:
bukan lockdown, tapi psbb.
bukan mudik, tapi pulang kampung.
bukan tidak transparan, tapi agar tak panik.
bukan konflik kepentingan, tapi maladministrasi.
.
anehnya rezim nya saat ini
#doublespeak #retweeet","orwellian pandemic 101:
bukan lockdown, tapi psbb.
bukan mudik, tapi pulang kampung.
bukan tidak transparan, tapi agar tak panik.
bukan konflik kepentingan, tapi maladministrasi.
.
anehnya rezim nya saat ini
#doublespeak #retweeet","orwellian pandemic 101 : 
 , psbb . 
 mudik , pulang kampung . 
 transparan , panik . 
 konflik kepentingan , maladministrasi . 
 . 
 anehnya rezim 
 #doublespeak #retweeet"
"selamat pagi..

semangat pagi...

buat kalian yg terkunci (lockdown)...

kita saama..👌 https://t.co/tyileachje","selamat pagi..

semangat pagi...

buat kalian yg terkunci (lockdown)...

kita saama..👌","selamat pagi..

semangat pagi...

buat kalian yang terkunci (lockdown)...

kita saama..👌","selamat pagi .. 

 semangat pagi ... 

 terkunci ( ) ... 

 saama .. 👌"
