text_asli,removed_noise,removed_alay,removed_stopwords
@ohmybeautybank woilah dompet gue kena lockdown nihhh kenapa lewat tl sih racun racun,woilah dompet gue kena nihhh kenapa lewat tl sih racun racun,woilah dompet gue kena nih kenapa lewat tl sih racun racun,woilah dompet kena tl racun racun
"rt @konfemsahih: di australia, menteri new south wales letak jawatan kerana langgar peraturan lockdown.

di new zealand, menteri kesihatan…","di australia, menteri new south wales letak jawatan kerana langgar peraturan lockdown.

di new zealand, menteri kesihatan…","di australia, menteri new south wales letak jawatan kerana langgar peraturan lockdown.

di new zealand, menteri kesihatan…","australia , menteri new south wales letak jawatan kerana langgar peraturan . 

 new zealand , menteri kesihatan …"
rt @bst_arya: #patanjali pariwar #bangaluru #adamya chetan lion club ke sahayog se #covid 19 #lockdown me bhojan pocket v rashan  vitaran @…,#patanjali pariwar #bangaluru #adamya chetan lion club ke sahayog se #covid 19 #lockdown me bhojan pocket v rashan vitaran,#patanjali pariwar #bangaluru #adamya chetan lion club ke sahayog se #covid 19 #lockdown me bhojan pocket v rashan vitaran,#patanjali pariwar #bangaluru #adamya chetan lion club sahayog #covid 19 #lockdown me bhojan pocket v rashan vitaran
"rt @creepyposta: #lockdown hari ke-156

ate nak buat karipap tu cuba belajar buat kelim dulu. ini dah ghoper janin jer. idok ler teringin t…","#lockdown hari ke-156

ate nak buat karipap tu cuba belajar buat kelim dulu. ini dah ghoper janin jer. idok ler teringin t…","#lockdown hari ke-156

ate nak buat karipap itu cuba belajar buat kelim dulu. ini deh ghoper janin jer. idok ler teringin t…","#lockdown - 156 

 ate karipap cuba belajar kelim . deh ghoper janin jer . idok ler teringin t …"
"yakin lockdown ta rek?
kok cuma aku yg di kos sendirian jumat sabtu minggu?","yakin ta rek?
kok cuma aku yg di kos sendirian jumat sabtu minggu?","yakin ta rek?
kok cuma aku yang di kos sendirian jumat sabtu minggu?","ta rek ? 
 kos jumat sabtu minggu ?"
"masih berstatus ldr #lockdown
relationship","masih berstatus ldr #lockdown
relationship","masih berstatus ldr #lockdown
relationship","berstatus ldr #lockdown 
 relationship"
"rt @majidahhashim: sekiranya anda atau kenalan mengalami keganasan rumahtangga, hubungi:

@womensaidorg: 0379563488 / 0189888058

@telenisa…","sekiranya anda atau kenalan mengalami keganasan rumahtangga, 0379563488 /","sekiranya anda atau kenalan mengalami keganasan rumahtangga, 0379563488 /","kenalan mengalami keganasan rumahtangga , 0379563488 /"
lumayan juga ah bakar2 tipis kalori akibat lockdown 😂 #lockdown https://t.co/dlg7roozeg,lumayan juga ah bakar2 tipis kalori akibat 😂 #lockdown,lumayan juga ah bakar2 tipis kalori akibat 😂 #lockdown,lumayan ah bakar2 tipis kalori akibat 😂 #lockdown
"rt @rizmawidiono: gagal dech hajatan 18 april. sungguh disayang, padahal bbrp politisi, pecatan sakit hati &amp; buzzer binaan tlh berhasil cip…","gagal dech hajatan 18 april. sungguh disayang, padahal bbrp politisi, pecatan sakit hati &amp; buzzer binaan tlh berhasil cip…","gagal deh hajatan 18 april. sungguh disayang, padahal beberapa politisi, pecatan sakit hati &amp; buzzer binaan tlh berhasil cip…","gagal deh hajatan 18 april . sungguh disayang , politisi , pecatan sakit hati & amp ; buzzer binaan tlh berhasil cip …"
@ikhsanhanaan jurugsari lockdown seko koe,jurugsari seko koe,jurugsari seko koe,jurugsari seko koe
"ohh jadi ginii lockdown di rumah aja,terus rebahan sampe sakit punggung.","ohh jadi ginii di rumah aja,terus rebahan sampe sakit punggung.","oh jadi begini di rumah aja,terus rebahan sampai sakit punggung.","rumah , rebahan sakit punggung ."
@pacegimbals itu ngambilnya udah lama...sebelum ada pemberlakuan lockdown,itu ngambilnya udah lama...sebelum ada pemberlakuan,itu ngambilnya sudah lama...sebelum ada pemberlakuan,ngambilnya ... pemberlakuan
"lockdown apaansi ajg?deket ruma gue di lockdown tp bapak2 yg jagain palangnya malah ngumpul sambil ngopi, brengsek bet","apaansi ajg?deket ruma gue di tp bapak2 yg jagain palangnya malah ngumpul sambil ngopi, brengsek bet","apaansi ajg?deket ruma gue di tapi bapak2 yang menjaga palangnya malah ngumpul sambil ngopi, brengsek banget","apaansi ajg?deket ruma bapak2 menjaga palangnya ngumpul ngopi , brengsek"
rt @iam_jaaa: aku tgk ig story josevilla ni seronok je die shoot pakai film. tibe2 dlm kple aku tertnye2 tmpt die ni tak lockdown ke? 🧐 ras…,aku tgk ig story josevilla ni seronok je die shoot pakai film. tibe2 dlm kple aku tertnye2 tmpt die ni tak ke? 🧐 ras…,aku tengok ig story josevilla nih seronok je die shoot pakai film. tibe2 dalam kple aku tertnye2 tempat die nih tak ke? 🧐 ras…,tengok ig story josevilla seronok je die shoot pakai film . tibe2 kple tertnye2 die ? 🧐 ras …
