text_asli,removed_noise,removed_alay,removed_stopwords
"china itu yg lockdown bukan senegaranya tapi wuhannya, kalo indonesia lockdown ya wuhannya aja (jakarta)
kan yg dilockdown itu sumbernya

fuad bawazier","china itu yg bukan senegaranya tapi wuhannya, kalo ya wuhannya aja (jakarta)
kan yg dilockdown itu sumbernya

fuad bawazier","china itu yang bukan senegaranya tapi wuhannya, kalo ya wuhannya saja (jakarta)
kan yang dilockdown itu sumbernya

fuad bawazier",china negara wuhannya wuhannya jakarta dilockdown sumber fuad bawazier
"serikat petani kelapa sawit (spks) meminta presiden jokowi tidak mengambil kebijakan me-lockdown (mengunci) indonesia, untuk meredam pandemic virus corona (covid-19) yang terus meluas. #viruscorona https://t.co/lzwygfrqq5","serikat petani kelapa sawit (spks) meminta presiden jokowi tidak mengambil kebijakan me-lockdown (mengunci) indonesia, untuk meredam pandemic virus corona (covid-19) yang terus meluas. #viruscorona","serikat petani kelapa sawit (spks) meminta presiden jokowi tidak mengambil kebijakan me-lockdown (mengunci) indonesia, untuk meredam pandemic virus corona (covid-19) yang terus meluas. #viruscorona",serikat tani kelapa sawit spks presiden jokowi ambil bijak me-lockdown kunci indonesia redam pandemic virus corona covid-19 luas viruscorona
"tapi lama-lama indonesia bakal ngambil kebijakan total lockdown keknya.

india aja berani","tapi lama-lama bakal ngambil kebijakan total keknya.

india aja berani","tapi lama-lama bakal ngambil kebijakan total keknya.

india saja berani",ngambil bijak total india berani
"kalau indonesia lockdown,  brp orang tka yg ketangkap ya? 
ada ngak ya? 

https://t.co/8l8za2gn81","kalau lockdown, brp orang tka yg ketangkap ya? ada ngak ya?","kalau lockdown, berapa orang tka yang ketangkap ya? ada enggak ya?",lockdown orang tka tangkap
seneng dikit grgr duit bulanan selama libur gak di lock down tapi sedih nya indonesia gak di lockdown biar corona gak makin nyebar,seneng dikit grgr duit bulanan selama libur gak di lock down tapi sedih nya gak di biar corona gak makin nyebar,senang dikit gara-gara duit bulanan selama libur enggak di lock down tapi sedih nya enggak di biar corona enggak makin nyebar,senang dikit gara-gara duit libur lock down sedih biar corona nyebar
"cepat atau lambat, indonesia harus siap dengan kebijakan karantina wilayah atau lockdown terbatas demi menghentikan penyebaran virus corona. https://t.co/krpiegdc0o","cepat atau lambat, harus siap dengan kebijakan karantina wilayah atau terbatas demi menghentikan penyebaran virus corona.","cepat atau lambat, harus siap dengan kebijakan karantina wilayah atau terbatas demi menghentikan penyebaran virus corona.",cepat lambat bijak karantina wilayah batas henti sebar virus corona
@febyandrian_ indonesia kalo lockdown keknya sulit,kalo keknya sulit,kalo kayaknya sulit,sulit
"@jokowi negara lain sukses menurunkan tingkat kematian dengan lockdown.
physical distancing blm terbukti..
justru sekarang prosentasi kematian di indonesia itu tertinggi.

ga usah gengsi, ga usah malu, jujur aja klo lockdown negara ga punya uang. 
sekali2 jujur bisa kali jok.","negara lain sukses menurunkan tingkat kematian dengan lockdown.
physical distancing blm terbukti..
justru sekarang prosentasi kematian di itu tertinggi.

ga usah gengsi, ga usah malu, jujur aja klo negara ga punya uang. sekali2 jujur bisa kali jok.","negara lain sukses menurunkan tingkat kematian dengan lockdown.
physical distancing belum terbukti..
justru sekarang prosentasi kematian di itu tertinggi.

ga usah gengsi, enggak usah malu, jujur saja kalo negara enggak punya uang. sekali-kali jujur bisa kali jok.",negara sukses turun tingkat mati lockdown physical distancing bukti prosentasi mati gengsi malu jujur negara uang jujur kali jok
"lockdown @ jakarta, indonesia https://t.co/n6z0pb1iqb","jakarta,","jakarta,",jakarta
"india bakal lockdown, indonesia masih terus mengusahakan physical distancing &amp; baju apd. yang paling cepet turun angkanya yg mana nih","india bakal lockdown, masih terus mengusahakan physical distancing &amp; baju apd. yang paling cepet turun angkanya yg mana nih","india bakal lockdown, masih terus mengusahakan physical distancing &amp; baju apd. yang paling cepat turun angkanya yang mana nih",india lockdown usaha physical distancing amp baju apd cepat turun angka
