text_asli,removed_noise,removed_alay,removed_stopwords,label
"@kuis_viral 
alhamdulillah ya sebagai ibu kota jakarta langitnya udah biru, udara bersih, bebas polusi. nah dalam rangka new normal harus tetap jaga lingkungan agar udara tetap sehat❣😇 #langitbarujakarta","alhamdulillah ya sebagai ibu kota jakarta langitnya udah biru, udara bersih, bebas polusi. nah dalam rangka harus tetap jaga lingkungan agar udara tetap sehat❣😇 #langitbarujakarta","alhamdulillah ya sebagai ibu kota jakarta langitnya sudah biru, udara bersih, bebas polusi. nah dalam rangka harus tetap jaga lingkungan agar udara tetap sehat❣😇 #langitbarujakarta","alhamdulillah kota jakarta langitnya biru , udara bersih , bebas polusi . rangka jaga lingkungan udara sehat ❣ 😇    #langitbarujakarta",positif
"bocil dah pada sekolah ya hari ini?
daerah kalen dah new normal ga si","bocil dah pada sekolah ya hari ini?
daerah kalen dah ga si","bocil deh pada sekolah ya hari ini?
daerah kalen deh enggak sih","bocil deh sekolah ? 
 daerah kalen deh",netral
apakah ktp baru termasuk new normal?,apakah ktp baru termasuk normal?,apakah ktp baru termasuk normal?,ktp ?,netral
peratutan belum new normal udah begini apalagi new normal 😭 https://t.co/rawgip4xgl,peratutan belum udah begini apalagi 😭,peratutan belum sudah begini apalagi 😭,peratutan 😭,netral
"cepet normal lah, tp dudu new normal https://t.co/fsbzcy4zly","cepet lah, tp dudu","cepat lah, tapi dudu","cepat , dudu",netral
korsel baru 1 hari menerapkan new normal langsung gagal ! https://t.co/ruhpyfuobl,korsel baru 1 hari menerapkan langsung gagal !,korsel baru 1 hari menerapkan langsung gagal !,korsel 1 menerapkan langsung gagal !,negatif
ini new normal udah jalan belum sik,ini udah jalan belum sik,ini sudah jalan belum sik,jalan sik,netral
terapkan new normal dari diri sendri dulu aja 😊,terapkan dari diri sendri dulu aja 😊,terapkan dari diri sendiri dulu saja 😊,terapkan 😊,positif
"jakartans... 

sudah 4 bulan ya kira-kira, kita berjuang menghadapi pandemi. 

sekarang kabar kamu gimana? apakah masih merasa insecure atau takut? atau sudah biasa aja, dan bersiap untuk menjalani kehidupan ""new normal""? 

share dong sini di #sarapanseru https://t.co/lcftlzaf6p","jakartans... sudah 4 bulan ya kira-kira, kita berjuang menghadapi pandemi. sekarang kabar kamu gimana? apakah masih merasa insecure atau takut? atau sudah biasa aja, dan bersiap untuk menjalani kehidupan ""new normal""? share dong sini di #sarapanseru","jakartans... sudah 4 bulan ya kira-kira, kita berjuang menghadapi pandemi. sekarang kabar kamu gimana? apakah masih merasa insecure atau takut? atau sudah biasa aja, dan bersiap untuk menjalani kehidupan ""new normal""? share dong sini di #sarapanseru","jakartans ... 4 , berjuang menghadapi pandemi . kabar gimana ? insecure takut ? , menjalani kehidupan "" "" ? share #sarapanseru",netral
"setelah sekian lama dianter2 terus, mulai hari ini harus bisa mandiri 😁 welkam to ""the new normal"" 🤭","setelah sekian lama dianter2 terus, mulai hari ini harus bisa mandiri 😁 welkam to ""the normal"" 🤭","setelah sekian lama dianter2 terus, mulai hari ini harus bisa mandiri 😁 welkam tapi ""the normal"" 🤭","sekian dianter2 , mandiri 😁 welkam "" the "" 🤭",positif
"new normal 2020 😷
#2020 #newnormal #bandungstory #bandung #indonesia #psbb #lockdown #instagood #picoftheday #canon #lightroom #coronavirus @ asia afrika bandung https://t.co/nevsbyrybv","2020 😷
#2020 #newnormal #bandungstory #bandung #indonesia #psbb #lockdown #instagood #picoftheday #canon #lightroom #coronavirus asia afrika bandung","2020 😷
#2020 #newnormal #bandungstory #bandung #indonesia #psbb #lockdown #instagood #picoftheday #canon #lightroom #coronavirus asia afrika bandung","2020 😷 
 #2020 #newnormal #bandungstory #bandung #indonesia #psbb #lockdown #instagood #picoftheday #canon #lightroom #coronavirus asia afrika bandung",netral
@softsoftchan beneran new normal nih kek nya,beneran nih kek nya,benaran nih kayak nya,benaran,netral
