text_asli,removed_noise,removed_alay,removed_stopwords,Label
"jam malam di pemalang berakhir, masyarakat bersiap jalani new normal https://t.co/ljtu1ms2xm","jam malam di pemalang berakhir, masyarakat bersiap jalani","jam malam di pemalang berakhir, masyarakat bersiap jalani","jam malam pemalang , masyarakat jalani",positif
@cnnindonesia berbanding terbalik ya sama pernyataan pak @jokowi perihal new normal yg kapasitas gedung/tempat hanya boleh 50%. trs itu yang dateng nantinya apa setengahnya disuruh nunggu di mobil? 🤣,berbanding terbalik ya sama pernyataan pak perihal yg kapasitas gedung/tempat hanya boleh 50%. trs itu yang dateng nantinya apa setengahnya disuruh nunggu di mobil? 🤣,berbanding terbalik ya sama pernyataan pak perihal yang kapasitas gedung/tempat hanya boleh 50%. terus itu yang datang nantinya apa setengahnya disuruh menunggu di mobil? 🤣,berbanding terbalik pernyataan perihal kapasitas gedung / 50 % . setengahnya disuruh menunggu mobil ? 🤣,negatif
"new normal, jr akan intensifkan layanan jemput bola https://t.co/9fuwdymfju via @metrosulawesi","normal, jr akan intensifkan layanan jemput bola via","normal, jr akan intensifkan layanan jemput bola via",", jr intensifkan layanan jemput bola via",positif
@kudila_ kalo g bangun g new normal,kalo g bangun g,kalo enggak bangun enggak,bangun,netral
"@collegemenfess kalo kampus kayaknya engga ya, dah gede juga otak dah paham lah yg namanya new normal","kalo kampus kayaknya engga ya, dah gede juga otak dah paham lah yg namanya","kalo kampus kayaknya enggak ya, deh gede juga otak deh paham lah yang namanya","kampus kayaknya , deh gede otak deh paham namanya",positif
"lagu  ,  corona

virus mematikan ,ganas membunuh  jutaan  orang  lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd https://t.co/3eomedxomj","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona 

 virus mematikan , ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , ibadah rumah , waspada . 
 taati protokol kesehatan / normalisasi kehidupan",positif
"@vivacoid lagu  ,  corona

virus mematikan ,ganas membunuh  jutaan  orang  lewat perkumpulan  dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan new normal / normalisasi kehidupan 

https://t.co/hwhpcyhtfd","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pake masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona

virus mematikan ,ganas membunuh jutaan orang lewat perkumpulan dan keramaian .

hindari keramaian,jaga jarak, pakai masker, ibadah di rumah aja, waspada lah.
taati lah protokol kesehatan / normalisasi kehidupan","lagu , corona 

 virus mematikan , ganas membunuh jutaan orang perkumpulan keramaian . 

 hindari keramaian , jaga jarak , pakai masker , ibadah rumah , waspada . 
 taati protokol kesehatan / normalisasi kehidupan",positif
"@satubsd jawabannya : 
1. new normal.
2. masker.
3. psbb.

#giveaway 
#giveawayindonesia
#kuisberhadiah 
#bsdquiz 
#kuisbsd 

ayo ikutan : 
@asriamalia @oliviadina87 @darkmode62 @galihsatya @irohmudiroh","jawabannya : 1. normal.
2. masker.
3. psbb.

#giveaway #giveawayindonesia
#kuisberhadiah #bsdquiz #kuisbsd ayo ikutan :","jawabannya : 1. normal.
2. masker.
3. psbb.

#giveaway #giveawayindonesia
#kuisberhadiah #bsdquiz #kuisbsd ayo ikutan :","jawabannya : 1 . . 
 2 . masker . 
 3 . psbb . 

 #giveaway #giveawayindonesia 
 #kuisberhadiah #bsdquiz #kuisbsd ayo ikutan :",positif
"kondisi banyak pekerja lagi susah, masih akan dipotong iuran lagi dengan dalih tabungan perumahan? peraturan sudah di tanda tangani jadi ya tunggu tanggal mainnya saja, benar benar new normal... terima kasih pemimpin bangsaku, role model banget ☺️","kondisi banyak pekerja lagi susah, masih akan dipotong iuran lagi dengan dalih tabungan perumahan? peraturan sudah di tanda tangani jadi ya tunggu tanggal mainnya saja, benar benar normal... terima kasih pemimpin bangsaku, role model banget ☺️","kondisi banyak pekerja lagi susah, masih akan dipotong iuran lagi dengan dalih tabungan perumahan? peraturan sudah di tanda tangani jadi ya tunggu tanggal mainnya saja, benar benar normal... terima kasih pemimpin bangsaku, role model banget ☺️","kondisi pekerja susah , dipotong iuran dalih tabungan perumahan ? peraturan tanda tangani tunggu tanggal mainnya , ... terima kasih pemimpin bangsaku , role model ☺ ️",negatif
"gabisa komen, soalnya sypun sudah new normal ~ ヽ(^。^)ノ wlaupun harus taat protokol
kalo ga normal nanti gadapet uid https://t.co/knyhuievd0","gabisa komen, soalnya sypun sudah ~ ヽ(^。^)ノ wlaupun harus taat protokol
kalo ga nanti gadapet uid","enggak bisa komen, soalnya sypun sudah ~ ヽ(^。^)ノ walaupun harus taat protokol
kalo enggak nanti gadapet uid","komen , sypun ~ ヽ(^。^)ノ taat protokol 
 gadapet uid",netral
"new normal untuk menghidupkan perekonomian bukan nyawa , stay safe , stay at home .","untuk menghidupkan perekonomian bukan nyawa , stay safe , stay at home .","untuk menghidupkan perekonomian bukan nyawa , stay safe , stay at home .","menghidupkan perekonomian nyawa , stay safe , stay at home .",netral
benar benar new normal untuk kehidupanku😌,benar benar untuk kehidupanku😌,benar benar untuk kehidupanku😌,kehidupanku 😌,netral
"@sofiesyarief sedih juga kemarin group wa ibu2 komplek rame marah2 bilang ""tetep dirumah aja, gausah keluar new normal itu bohong, cuma buat ngegerakin ekonomi niatnya, bukan buat keselamatan"" ya munhkin dia ekonominya stabil, pdhl ada tetangga2 aku yg memang kl ga keluar kerja ya gabisa makan","sedih juga kemarin group wa ibu2 komplek rame marah2 bilang ""tetep dirumah aja, gausah keluar itu bohong, cuma buat ngegerakin ekonomi niatnya, bukan buat keselamatan"" ya munhkin dia ekonominya stabil, pdhl ada tetangga2 aku yg memang kl ga keluar kerja ya gabisa makan","sedih juga kemarin group wa ibu-ibu komplek rame marah-marah bilang ""tetep dirumah aja, enggak usah keluar itu bohong, cuma buat ngegerakin ekonomi niatnya, bukan buat keselamatan"" ya munhkin dia ekonominya stabil, padahal ada tetangga2 aku yang memang kalo enggak keluar kerja ya enggak bisa makan","sedih kemarin group wa ibu-ibu komplek rame marah-marah bilang "" tetep dirumah , bohong , ngegerakin ekonomi niatnya , keselamatan "" munhkin ekonominya stabil , tetangga2 kerja makan",negatif
