"_type","category","isi","judul"
"dict","tekno","Cara Bersih-bersih Google Drive Agar Tidak Perlu Bayar","Cara Bersih-bersih Google Drive Agar Tidak Perlu Bayar"
"dict","bola","Maroko Vs Argentina, Tanpa Lionel Messi, Tim Tango Menang  - Timnas    berhasil mengalahkan    pada laga uji coba, Selasa (26/3/2019) atau Rabu dini hari WIB. Tim Tango, julukan Argentina, sukses meraih kemenangan meski tampil tanpa bintangnya,   , yang mengalami cedera. Messi mengalami cedera saat Argentina beruji coba melawan Venezuela, Sabtu (23/3/2019). Argentina kalah 1-3 dalam laga tersebut. Saat melawan Maroko, bertanding di Grand Stade de Tanger, Argentina menang dengan skor 1-0. Gol kemenangan Argentina dicetak oleh Angel Correa pada menit ke-83 yang menerima assist dari M Suarez. Bermain tanpa Messi, pelatih timnas Argentina, Lionel Scaloni, menurunkan duet Lautaro Martinez dan Paulo Dybala di barisan depan. Sepanjang pertandingan, Argentina hanya melepaskan 13 tembakan dan cuma 2 yang  . Dari segi penguasaan bola pun La Albiceleste kalah dari tuan rumah, yakni 43 persen berbanding 57 persen.  (3-4-2-1): 1-Yassine Bounou; 5-Medhi Benatia (17-Yunis Abdelhamed 61'), 4-Manuel Da Costa (21-Oussama Idrissi 87'), 6-Romain Saiss; 3-Noussair Mazraoui, 8-Karim El Ahmadi (15-Youssef Ait Bennasser 61'), 14-Mbark Boussoufa (11-Faycal Fajr 74'), 2-Achraf Hakimi; 10-Younes Belhanda (18-Mehdi Bourabia 87'), 9-Sofiane Boufal; 13-Khalid Boutaib (23-Rachid Aliou 75').  (4-4-2): 23-Esteban Andrada (32-Juan Musso 67'); 24-Gonzalo Montiel, 6-German Pezzella, 4-Walter Kannemann, 8-Marcos Acuna; 7-Roberto Pereyra (13-Ivan Marcone 90'), 28-Guido Rodriguez, 5-Leandro Paredes (19-Federico Zaracho 76'), 16-Rodrigo De Paul (11-Angel Correa 62'); 21-Paulo Dybala (20-Giovani Lo Celso 79'), 22-Lautaro Martinez (27-Matias Suarez 56').","Maroko Vs Argentina, Tanpa Lionel Messi, Tim Tango Menang"
"dict","bola","Timnas U-23 Indonesia Berterima Kasih kepada Ezra Walian   Bek tim nasional U-23 Indonesia, Asnawi Mangkualam Bahar, berterima kasih atas dukungan dari rekannya    yang baru dinyatakan dilarang memperkuat timnas Indonesia oleh FIFA. ""Kami berterima kasih kepada Ezra yang selalu mendukung kami di sini meski dia tidak bermain,"" ujar Asnawi. Menurut pemain asal Makassar itu, apa yang dilakukan oleh Ezra memberikan semangat untuk skuat asuhan pelatih Indra Sjafri. Ezra Walian, pemain naturalisasi dari Belanda, tidak diperkenankan tampil untuk tim nasional Indonesia sejak Kamis (21/3/2019) atau sebelum laga perdana kualifikasi Piala Asia U-23 2020 AFC di Vietnam oleh Federasi Sepak Bola Internasional (FIFA). FIFA menganggap Ezra melanggar aturan terkait perpindahan status kewarganegaraan. Pangkalnya, Ezra yang dinaturalisasi pada tahun 2017 itu pernah bermain di timnas U-17 Belanda di kualifikasi Piala Eropa U-17 pada tahun 2013. Ezra memutuskan untuk tetap tinggal di Vietnam demi memberikan dukungan kepada rekan-rekannya sampai kualifikasi Piala Asia U-23 AFC 2020 usai pada Selasa (26/3/2019). Dia tampak bersama sang ayah Glenn Arthur di bangku penonton saat timnas U-23 berlaga kontra Thailand di laga perdana Grup K Kualifikasi Piala Asia U-23 AFC 2020, Jumat (22/3/2019), yang berakhir dengan skor 4-0 untuk kemenangan Thailand. Pemain berusia 21 tahun tersebut sempat mengunggah momen itu di akun media sosial Instagram pribadinya. Ezra mengaku sedih dengan keputusan FIFA dan menuliskan kalimat, ""Saya sebenarnya sangat sedih. Tapi, saya memutuskan untuk tetap setia dan tinggal bersama tim di Vietnam hingga kualifikasi selesai. Saya akan menjadi pemain ke-12 di tribun, dan berteriak menyemangati kalian. Semangat Timnas! Kalahkan mereka semua, Aku yakin kita bisa dan lolos. Garuda di dadaku!""","Timnas U-23 Indonesia Berterima Kasih kepada Ezra Walian "
"dict","tekno","Melihat Redmi Note 7 dari Segala Sisi  -    akhirnya memboyong    Note 7 setelah banyak dinanti penggemarnya di Indonesia. Ponsel ini cukup ramai diperbincangkan di ranah maya karena beberapa fitur baru yang dibawa ke lini Redmi. Utamanya ada di desain. Dari tampilan muka,    hanya menyisakan sedikit takik mungil yang menjorok di atas display, atau dalam bahasa Xiaomi disebut  . Dengan takik yang kecil itu, alhasil layar tampak lebih lega, sebab bingkai bagian bawah juga semakin menipis. Takik tersebut difungsikan sebagai rumah kamera depan beresolusi 13 megapiksel dengan bukaan lensa 13 megapiksel dengan bukaan lensa f/2.2. Layar IPS LCD berukuran 6,3 inci ini memiliki rasio aspek 19,5:9 dan mendukung resolusi 2380 x 1080 piksel. Beralih ke bagian punggung, Xiaomi turut menampilkan desain baru dengan pulasan warna gradasi. Bagian ini berlapis material kaca sehingga tampak sedikit premium, meskipun bahan yang digunakan tetaplah plastik. Di sudut kiri atas tersemat modul kamera ganda dengan kamera utama beresolusi 48 megapiksel berbukaan f/1.8 dan kamera sekunder 5 megapiksel dengan bukaan diafragma f/2.4. Di balik cangkang yang tampak mengilap itu terbenam baterai berkapasitas 4.000 mAh. Bergeser ke sisi atas, tampak lubang jack audio 3,5mm dan sensor IR blaster yang berfungsi sebagai pengendali jarak jauh. Di sisi kanan, terdapat tombol daya yang ditemani tombol volume. Sementara di sisi kiri, terdapat slot kartu SIM yang bersifat hybrid. Di bagian bawah hanya ada port USB-C untuk pengisian daya dan speaker grill. Pengisian daya sudah didukung Quick Charge 4.0, namun adaptornya harus dibeli secara terpisah. Untuk ""jeroannya"", Redmi Note 7 diotaki chipset Snapdragon 660 yang dipadu dengan konfigurasi RAM 3 GB dan internal 32 GB, serta RAM 4 GB dan internal 64 GB. Ponsel ini dijalankan dengan Android 9.0 Pie dan dilapisi antarmuka MIUI 10. Bagaimana penampilan terbaru dari Redmi Note 7 dari berbagai sisi, simak selengkapnya di  . Simak juga video   dan hands-on Redmi Note 8 melalui  .","Melihat Redmi Note 7 dari Segala Sisi"
"dict","travel","Liburan Bukan Menyegarkan, tapi Justru Melelahkan? Ini Sebabnya...  Pergi berlibur setelah melakukan rutinitas sehari-hari yang menguras energi dan pikiran tentu menjadi hal yang umum dilakukan banyak orang. Harapannya, dengan berlibur, pikiran dan tenaga dapat beristirahat sejenak sehingga setelah kembali dari liburan kita kembali siap menjalankan rutinitas. Mungkin Anda akan berfikir merencanakan liburan beberapa hari di pantai atau di daerah pegunungan dengan harapan dapat menikmati pemandangan indah dan menghirup udara yang segar. Namun, pernahkan Anda justru merasa sangat lelah setelah menjalani liburan? Alhasil bukannya menyegarkan, namun liburan tersebut justru membuat Anda kembali merasa lelah dan butuh lebih banyak waktu istirahat. dr Bono, seorang dosen ilmu psikologi dan otak di Universitas Washington di St. Louis memberi alasan yang logis yang dapat menjelaskan mengapa hal ini terjadi. ""Ketika Anda memiliki rutinitas, ada lebih sedikit energi mental yang harus digunakan untuk mencari tahu apa yang harus kita lakukan. Itu bagian dari alasan mengapa liburan bisa sangat melelahkan. Anda harus mencari tahu, oke, ‘di mana kita memarkir mobil? Di mana kita mendapatkan kopi kita? Jika kita ingin sesuatu untuk dimakan, ke mana kita pergi? Apa saja pilihan untuk apa yang akan kita lakukan hari ini? ’Semua itu adalah hal-hal yang tidak perlu Anda pikirkan dalam kehidupan sehari-hari Anda dan memerlukan energi lebih untuk memecahkannya,"" jelas Bono. Menurut Bono, manusia lebih mudah melakukan hal-hal yang berulang. Sehingga membuat keputusan-keputusan kecil saja di luar kebiasaannya dapat menguras banyak energi kognitif. Menurutnya, banyaknya energi kognitif inilah yang akhirnya dapat membuat Anda merasa kelelahan pasca-perjalanan. Lalu bagaimana cara agar liburan benar-benar membuat Anda segar dan dapat membuat Anda kembali bersemangat menjalankan rutinitas? Menurut Bono, tak semua waktu liburan harus kita habiskan di luar rumah. “Sisakan waktu jeda antara liburan dan kerja untuk berada di rumah dan beristirahat total agar tenaga Anda pulih dan dapat kembali beraktivitas,” lanjutnya. Dengan pengelolaan waktu liburan ini, maka perjalanan Anda tak akan mengganggu persediaan tenaga Anda untuk kembali bekerja.","Liburan Bukan Menyegarkan, tapi Justru Melelahkan? Ini Sebabnya..."
"dict","entertainment","Boyzone: Kami Sudah Terlalu Tua untuk Sebuah Boyband  --    dari Irlandia pernah menjadi salah satu   ternama di seluruh dunia.     yang dibentuk pada 1993 ini kini beranggota Keith Duffy, Mikey Graham, Ronan Keating, dan Shane Lynch. Bersama antara lain Westlife dan Take That, mereka menyulut kejayaan   pada era 1990-an hingga pertengahan 2000-an.   Namun kini, setelah 25 tahun melanglang buana menjadi pujaan banyak orang, Ronan Keating, Keith Duffy, Shane Lynch, dan Mikey Graham memutuskan untuk mengakhiri perjalanan tersebut. Mereka akan segera membubarkan diri setelah rangkaian konser album perpisahan bertajuk   selesai. Indonesia menjadi salah satu negara konser tersebut.  Banyak penggemar memertanyakan alasan   pelantun ""Everyday I Love You"" ini akan pamit dari industri musik.   Dalam wawancara eksklusif dengan   di Hotel DoubleTree by Hilton, kawasan Cikini, Jakarta Pusat, Sabtu (23/3/2019) malam, mereka membeberkan penyebabnya.  ""Kami sudah terlalu tua,"" ucap Duffy sekaligus mewakili rekan-rekannya.  Duffy merasa   sangatlah identik dengan kaum muda dengan jiwa yang liar dan enerjik. Namun, kini mereka sudah bukan lagi remaja untuk tampil sebagai .  ""Kami mendirikan   ini ketika berusia belasan tahun dan kami bukan lagi anak belasan tahun,"" tutur Duffy.   Sekarang, timpal Lynch, waktunya bagi para personel Boyzone untuk rehat dari hiruk-pikuk industri musik.  ""Aku rasa musik merupakan hal yang kami cinta untuk kami lakukan selamanya. Untuk  sekarang, kami telah 25 tahun bersama Boyzone,"" ucapnya.  ""Kami melewati waktu demi waktu bersama dan sekarang waktunya menarik napas, tarikan napas yang dalam dan panjang,"" sambungnya.  Apabila suatu saat kelak mereka rindu tampil bersama, Lynch tak bisa berjanji apakah hal tersebut akan membuat mereka bereuni untuk bernostalgia di panggung.   ""Bila Boyzone bisa kembali lagi dalam 20 tahun atau 10 tahun mendatang, kami tak tahu, itu  soal lain. Kami hanya berpikir ini cukup dan kami memiliki waktu yang sangat baik,"" ujarnya.  Boyzone akan tampil dalam konser perpisahan mereka di Tennis Indoor, Senayan, Jakarta Pusat, Minggu (24/3/2019) malam ini.   Dalam konser tersebut mereka juga akan memberi penghormatan kepada Stephen Gately, personel Boyzone yang meninggal dunia pada 2009.","Boyzone: Kami Sudah Terlalu Tua untuk Sebuah Boyband"
"dict","indeks","",""
"dict","sains","Berbobot 8.800 Kg, Scotty jadi T-rex Terbesar yang Pernah Ditemukan  Selama ini   dianggap sebagai    yang paling berbahaya.    juga digambarkan memiliki tubuh raksasa dengan kemampuan bergerak yang cukup gesit.  Baru-baru ini, paleontolog dari University of Alberta mengumumkan jika T-rex memiliki berat badan yang dapat tumbuh hingga 8.800 kg. Hasil tersebut berdasarkan pada pengukuran fosil T-rex bernama Scotty.    ini hidup di Saskatchewan,    sekitar 66 juta tahun lalu. ""Scotty adalah T-rex terbesar. Setelah melakukan pengukuran pada kaki, pinggul, dan bahu, Scotty keluar sebagai pemenangnya,"" kata Scott Persons, peneliti di Departemen Ilmu Biologi University of Alberta. Kerangka itu sebenarnya pertama kali ditemukan pada tahun 1991, tetapi proses pembersihan serta memindahkan batu serta pasir di sekitar fosil membutuhkan waktu lebih dari satu dekade. Tidak hanya ukuran serta berat yang luar biasa, Scotty juga diperkirakan memiliki umur yang sudah tua. Peneliti dapat mengetahuinya dengan cara memotong tulang dan mempelajari pola pertumbuhannya. Scotty diperkirakan berumur 30 tahun ketika mati dan kemungkinan karena pertarungan dengan T-rex lainnya. Peneliti menemukan bintik-bintik bekas luka yang besar, bahkan terdapat patah tulang rusuk, rahang yang terinfeksi serta bekas gigitan pada ekor. Meski begitu, Scotty cukup beruntung bisa mencapai usia tersebut. Sebab, T-rex diketahui merupakan dinosaurus yang berkembang dan mati dengan cepat. ""Nantinya akan selalu ada penemuan baru yang lebih besar. Namun, sekarang Scotty adalah predator terestrial terbesar yang tercatat oleh ilmu pengetahuan,"" tambah Persons. Kerangka Scotty akan dipamerkan di Museum Royal Saskatchewan pada Mei 2019 nanti.","Berbobot 8.800 Kg, Scotty jadi T-rex Terbesar yang Pernah Ditemukan"
"dict","tekno","Microsoft Ingatkan Usia Windows 7 Tinggal Setahun Lagi  -    baru saja merilis pembaruan untuk sistem operasi   . Lewat pembaruan itu pula Microsoft mengingatkan pengguna bahwa usia Windows 7 tinggal satu tahun ke depan. ","Microsoft Ingatkan Usia Windows 7 Tinggal Setahun Lagi"
"dict","lifestyle","PERHATIAN : Cerita ini hanya fiktif belaka, bila ada persamaan nama, tempat, kejadian dan lain-hal lain itu hanya kebetulan belaka..... Salam Messlaip!		","Si Quvroy - Beli Bintang"
