text_asli,removed_noise,removed_alay,removed_stopwords
"diharapkan, akan semakin banyak perusahaan di dki jakarta yang memberlakukan work from home selama pandemi covid-19 ini. https://t.co/sloltn2x0z","diharapkan, akan semakin banyak perusahaan di dki jakarta yang memberlakukan selama pandemi covid-19 ini.","diharapkan, akan semakin banyak perusahaan di dki jakarta yang memberlakukan selama pandemi covid-19 ini.","diharapkan , perusahaan dki jakarta memberlakukan pandemi covid - 19 ."
kemacetan tersebut terjadi akibat sejumlah perusahaan mulai kembali aktif setelah dua minggu memberlakukan wfh (work from home). https://t.co/ingtv6futc,kemacetan tersebut terjadi akibat sejumlah perusahaan mulai kembali aktif setelah dua minggu memberlakukan wfh (work home).,kemacetan tersebut terjadi akibat sejumlah perusahaan mulai kembali aktif setelah dua minggu memberlakukan wfh (work home).,kemacetan akibat perusahaan aktif minggu memberlakukan wfh ( ) .
"30.137 pekerja di jakarta di-phk, 162.416 dirumahkan tanpa gaji. selain itu, dki juga mencatat sebanya 3.379 perusahaan dan 1.208.508 pekerja sudah mengikuti imbauan untuk bekerja di rumah atau work from home.  https://t.co/tvhaegddfn","30.137 pekerja di jakarta di-phk, 162.416 dirumahkan tanpa gaji. selain itu, dki juga mencatat sebanya 3.379 perusahaan dan 1.208.508 pekerja sudah mengikuti imbauan untuk bekerja di rumah atau home.","30.137 pekerja di jakarta di-phk, 162.416 dirumahkan tanpa gaji. selain itu, dki juga mencatat sebanya 3.379 perusahaan dan 1.208.508 pekerja sudah mengikuti imbauan untuk bekerja di rumah atau home.","30.137 pekerja jakarta - phk , 162.416 dirumahkan gaji . , dki mencatat sebanya 3.379 perusahaan 1.208.508 pekerja mengikuti imbauan rumah ."
atasi kebosanan selama work from home dengan menonton 8 film mobil ini https://t.co/6lr8fsmnfb,atasi kebosanan selama dengan menonton 8 film mobil ini,atasi kebosanan selama dengan menonton 8 film mobil ini,atasi kebosanan menonton 8 film mobil
"5 zodiak yang ternyata tak bisa work from home, dari leo sampai sagitarius https://t.co/eq07ps9jh7","5 zodiak yang ternyata tak bisa home, dari leo sampai sagitarius","5 zodiak yang ternyata tak bisa home, dari leo sampai sagitarius","5 zodiak , leo sagitarius"
"prambors stage from home week 2✨
—
gak kalah sama minggu lalu, minggu ini artisnya juga gak kalah keren loooh!
 —
tapi buat hari ini jangan lupa!! jam 5 sore ada @bilalindrajaya + jam 7 malam ada @trisoulsmusic yang siap nemenin work/study from home lo nih, kawula muda✌🏼 https://t.co/nil4n9jc6c","prambors stage week 2✨
—
gak kalah sama minggu lalu, minggu ini artisnya juga gak kalah keren loooh! —
tapi buat hari ini jangan lupa!! jam 5 sore ada + jam 7 malam ada yang siap nemenin work/study lo nih, kawula muda✌🏼","prambors stage wig 2✨
—
gak kalah sama minggu lalu, minggu ini artisnya juga enggak kalah keren loooh! —
tapi buat hari ini jangan lupa!! jam 5 sore ada + jam 7 malam ada yang siap nemenin work/study lo nih, kawula muda✌🏼","prambors stage wig 2 ✨ 
 — 
 kalah minggu , minggu artisnya kalah keren loooh ! — 
 lupa ! ! jam 5 sore + jam 7 malam nemenin / study lo , kawula muda ✌ 🏼"
"udah bosen belom nih work or study from home?? hmm kalo bosen prambors punya #pramborsstagefromhome 🍿🎉

kawula muda bisa seru-seruan di mini konser #pramborsstagefromhome sekalian donasi bareng #kurirkebaikan untuk penanganan covid-19!

cek disini https://t.co/8at72pw0zj https://t.co/vrttz8orde","udah bosen belom nih or study home?? hmm kalo bosen prambors punya #pramborsstagefromhome 🍿🎉

kawula muda bisa seru-seruan di mini konser #pramborsstagefromhome sekalian donasi bareng #kurirkebaikan untuk penanganan covid-19!

cek disini","sudah bosan belum nih orang study home?? hmm kalo bosan prambors punya #pramborsstagefromhome 🍿🎉

kawula muda bisa seru-seruan di mini konser #pramborsstagefromhome sekalian donasi bareng #kurirkebaikan untuk penanganan covid-19!

cek disini","bosan orang study ? ? hmm bosan prambors #pramborsstagefromhome 🍿 🎉 

 kawula muda seru-seruan mini konser #pramborsstagefromhome donasi bareng #kurirkebaikan penanganan covid - 19 ! 

 cek"
video call pastinya menjadi fitur yang esensial saat kamu lagi #dirumahaja. biasa digunakan untuk bersua dengan teman dan keluarga dan juga untuk keperluan meeting selama work from home. https://t.co/edgizy7z6b,video call pastinya menjadi fitur yang esensial saat kamu lagi #dirumahaja. biasa digunakan untuk bersua dengan teman dan keluarga dan juga untuk keperluan meeting selama home.,video call pastinya menjadi fitur yang esensial saat kamu lagi #dirumahaja. biasa digunakan untuk bersua dengan teman dan keluarga dan juga untuk keperluan meeting selama home.,video call pastinya fitur esensial #dirumahaja . bersua teman keluarga keperluan meeting .
"karena viralnya work from home, kami sudah tidak dicurigai #ngeblogdirumah https://t.co/vcvqpgcmu8","karena viralnya home, kami sudah tidak dicurigai #ngeblogdirumah","karena viralnya home, kami sudah tidak dicurigai #ngeblogdirumah","viralnya , dicurigai #ngeblogdirumah"
"singapura punya aturan yang tegas soal pemberlakuan wfh bagi pekerja selama masa pandemi corona. pengusaha yang tidak mematuhi hal tersebut bisa didenda atas dipenjara. #singapura 

via @detikfinance https://t.co/rwlnfdx1p6",singapura punya aturan yang tegas soal pemberlakuan wfh bagi pekerja selama masa pandemi corona. pengusaha yang tidak mematuhi hal tersebut bisa didenda atas dipenjara. #singapura via,singapura punya aturan yang tegas soal pemberlakuan wfh bagi pekerja selama masa pandemi corona. pengusaha yang tidak mematuhi hal tersebut bisa didenda atas dipenjara. #singapura via,singapura aturan pemberlakuan wfh pekerja pandemi corona . pengusaha mematuhi didenda dipenjara . #singapura via
